Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Marble_Bury_Count,Rotarod_Latency_s,PPI_pct,Novel_Object_Discrimination_Index,Resting_Gamma_Power_uV2,Theta_Gamma_Coupling_Index,Sleep_Bout_Length_min,Pupillary_Dilation_pct,Future_Outcome_Category
M001,Chd8_Het,F,60,27.4,5120,19.0,0.36,11,79.0,26.2,0.7,15.5,0.41,8.1,21.9,Stable
M002,Chd8_Het,F,56,23.5,5444,17.6,0.55,6,103.8,43.4,0.52,19.7,0.47,5.6,18.1,Worsened
M003,Chd8_Het,M,58,28.9,4640,22.1,0.2,13,48.0,36.0,0.41,18.0,0.65,7.8,23.3,Worsened
M004,Chd8_Het,F,56,25.2,4041,8.3,0.57,19,83.0,37.3,0.82,14.5,0.48,8.9,19.2,Stable
M005,Chd8_Het,M,56,24.8,5041,22.7,0.43,5,77.5,57.3,0.52,11.2,0.35,6.4,18.5,Worsened
M006,Chd8_Het,M,68,29.8,5167,23.9,0.77,11,84.0,48.6,0.54,8.6,0.54,10.1,21.5,Stable
M007,Chd8_Het,F,58,23.9,4914,23.2,0.78,14,87.2,48.1,0.57,13.6,0.4,8.3,29.3,Improved
M008,Chd8_Het,M,58,26.4,4564,18.8,0.57,6,86.3,36.9,0.76,14.3,0.64,7.5,18.6,Improved
M009,Chd8_Het,F,56,26.6,4335,17.9,0.5,10,69.3,57.7,0.52,11.3,0.53,8.6,19.5,Stable
M010,Chd8_Het,M,62,28.2,5698,18.4,0.39,10,71.2,43.9,0.43,8.5,0.48,5.9,11.6,Worsened
M011,Chd8_Het,M,68,26.1,4771,11.6,0.28,10,74.9,34.6,0.53,9.3,0.47,5.0,19.0,Worsened
M012,Chd8_Het,M,62,29.9,4135,20.6,0.72,15,65.1,45.7,0.81,9.5,0.52,10.5,16.9,Improved
M013,Chd8_Het,M,60,24.9,4593,17.9,0.48,15,64.9,40.8,0.69,15.4,0.34,9.7,17.8,Stable
M014,Chd8_Het,F,68,25.5,5172,8.1,0.25,14,75.1,52.2,0.61,11.6,0.58,6.9,11.2,Stable
M015,Chd8_Het,M,58,24.0,5682,17.7,0.2,15,57.4,29.9,0.52,16.1,0.5,9.9,17.9,Worsened
M016,Chd8_Het,F,60,22.3,5468,15.6,0.59,9,70.1,42.4,0.54,15.5,0.49,11.7,18.9,Stable
M017,Chd8_Het,M,62,25.3,5523,13.4,0.49,14,77.1,37.3,0.7,14.1,0.51,10.6,24.6,Stable
M018,Chd8_Het,F,58,23.7,5018,7.9,0.73,11,90.0,31.4,0.74,12.1,0.46,5.7,19.1,Improved
M019,Chd8_Het,M,56,27.0,5137,21.7,0.42,8,78.7,47.7,0.73,16.2,0.29,9.1,25.9,Stable
M020,Chd8_Het,M,70,26.4,4788,20.1,0.5,16,86.5,35.5,0.65,16.5,0.41,7.6,10.1,Improved
M021,Chd8_Het,F,66,22.6,4003,15.9,0.64,11,86.1,32.1,0.4,16.4,0.52,8.3,25.2,Stable
M022,Chd8_Het,F,70,24.2,6239,17.0,0.8,9,83.9,40.4,0.36,14.5,0.56,8.1,19.5,Improved
M023,Chd8_Het,F,64,21.7,4694,11.3,0.74,12,66.0,36.5,0.92,12.0,0.39,9.0,22.5,Improved
M024,Chd8_Het,M,60,25.1,5470,16.7,0.2,15,90.6,39.8,0.54,14.5,0.4,5.8,21.2,Worsened
M025,Chd8_Het,M,58,27.3,5038,16.3,0.82,8,57.8,36.2,0.42,12.1,0.51,9.9,26.8,Worsened
M026,Chd8_Het,F,70,30.0,4974,6.0,0.49,12,44.5,42.7,0.54,11.5,0.53,10.3,17.8,Worsened
M027,Chd8_Het,F,70,23.0,5149,19.5,0.4,4,87.8,27.6,0.59,19.0,0.47,6.1,13.7,Improved
M028,Chd8_Het,F,58,24.7,5674,16.8,0.44,8,38.0,28.3,0.56,13.3,0.51,8.2,20.5,Worsened
M029,WT,M,68,25.9,5072,10.5,0.78,10,89.3,58.9,0.75,14.7,0.58,6.3,20.5,Improved
M030,WT,M,66,24.6,6079,14.8,0.72,9,96.9,56.8,0.5,10.5,0.49,10.6,17.1,Stable
M031,WT,M,70,28.4,3538,15.0,0.35,11,71.0,35.0,0.56,10.6,0.5,7.7,17.1,Worsened
M032,WT,F,56,26.4,5183,20.7,0.69,7,90.5,48.1,0.65,13.7,0.46,10.5,27.9,Stable
M033,WT,M,66,28.5,5023,22.0,0.68,14,40.1,39.6,0.48,14.6,0.43,7.8,21.6,Improved
M034,WT,F,66,19.7,5058,19.7,0.6,9,61.7,36.5,0.7,18.0,0.51,7.4,19.1,Stable
M035,WT,F,70,25.8,5323,15.2,0.63,6,94.3,55.6,0.46,16.1,0.4,11.0,22.5,Stable
M036,WT,M,58,29.3,4983,15.1,0.5,10,77.1,46.4,0.53,17.1,0.6,8.1,12.7,Stable
M037,WT,F,70,26.8,5149,12.0,0.65,15,53.9,49.3,0.57,12.4,0.55,6.5,19.9,Stable
M038,WT,M,56,27.8,4707,9.7,0.37,4,106.0,42.8,0.47,11.1,0.39,8.4,13.3,Stable
M039,WT,F,70,23.5,4765,19.7,0.86,15,74.7,47.3,0.63,16.4,0.53,7.2,13.4,Improved
M040,WT,F,68,22.7,6095,18.4,0.42,9,74.4,43.8,0.73,10.7,0.31,9.6,18.0,Stable
