Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Novel_Object_Discrimination_Index,YMaze_Alternation_pct,Grip_Strength_N,PPI_pct,Resting_Theta_Power_uV2,Hippocampal_Creatine_Signal_AU,Locomotor_Habituation_Slope,Pupillary_Dilation_pct,Future_Outcome_Category
R001,Slc6a8_Def,M,43,183,4860,18.2,0.45,0.55,57.1,5.8,40.2,13.8,0.73,-0.23,19.5,Stable
R002,Slc6a8_Def,F,45,171,4525,14.6,0.49,0.47,54.8,5.5,37.6,14.5,0.69,-0.18,18.2,Worsened
R003,Slc6a8_Def,M,44,188,5012,19.4,0.52,0.58,60.3,5.9,42.1,12.6,0.81,-0.25,20.8,Stable
R004,Slc6a8_Def,F,46,176,4358,16.8,0.41,0.44,52.7,5.2,35.4,15.2,0.66,-0.16,17.3,Worsened
R005,Slc6a8_Def,M,47,194,4732,20.1,0.47,0.51,56.0,6.1,39.8,13.1,0.76,-0.21,21.2,Stable
R006,Slc6a8_Def,F,44,168,4580,15.7,0.43,0.46,53.5,5.4,36.7,14.8,0.64,-0.17,18.7,Worsened
R007,Slc6a8_Def,M,45,186,5204,22.5,0.56,0.62,61.8,6.0,43.5,12.4,0.83,-0.27,22.1,Improved
R008,Slc6a8_Def,F,43,173,4411,17.2,0.39,0.48,55.2,5.3,38.9,13.9,0.71,-0.19,19.0,Stable
R009,Slc6a8_Def,M,46,191,4675,18.6,0.44,0.53,58.4,5.7,41.0,13.4,0.74,-0.22,20.1,Stable
R010,Slc6a8_Def,F,45,169,4289,13.9,0.36,0.42,51.3,5.1,34.8,15.6,0.61,-0.14,16.8,Worsened
R011,Slc6a8_Def,M,47,196,4888,19.8,0.50,0.57,59.6,6.2,44.0,12.9,0.79,-0.24,21.4,Improved
R012,Slc6a8_Def,F,44,174,4533,16.1,0.42,0.49,54.4,5.4,37.1,14.2,0.68,-0.18,18.9,Stable
R013,Slc6a8_Def,M,45,184,4761,17.7,0.46,0.50,56.8,5.8,39.1,13.7,0.72,-0.20,19.8,Stable
R014,Slc6a8_Def,F,46,178,4460,15.3,0.40,0.45,53.1,5.5,36.0,14.9,0.67,-0.17,17.9,Worsened
R015,Slc6a8_Def,M,43,182,5320,21.9,0.58,0.60,62.4,6.0,42.7,12.2,0.85,-0.28,22.7,Improved
