Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Rotarod_Latency_s,Novel_Object_Discrimination_Index,Nest_Building_Score,PPI_pct,Resting_Delta_Power_uV2,Cortical_Synchrony_Index,Respiratory_Irregularity_Index,Pupillary_Dilation_pct,Future_Outcome_Category
MX001,Mecp2_Partial_LOF,F,58,22.4,4688,16.8,0.49,76.1,0.55,3,39.8,18.9,0.64,0.33,18.7,Stable
MX002,Mecp2_Partial_LOF,F,60,21.7,4512,14.3,0.44,69.5,0.49,2,37.1,20.6,0.69,0.39,17.4,Worsened
MX003,Mecp2_Partial_LOF,M,59,25.8,4897,18.1,0.53,82.7,0.58,3,41.5,17.8,0.61,0.31,19.8,Stable
MX004,Mecp2_Partial_LOF,F,62,23.1,4385,13.2,0.41,65.8,0.46,2,35.9,21.4,0.72,0.42,16.9,Worsened
MX005,Mecp2_Partial_LOF,F,57,22.8,5010,19.4,0.56,84.1,0.61,4,42.8,18.1,0.60,0.29,20.6,Improved
MX006,Mecp2_Partial_LOF,M,61,26.4,4729,17.0,0.47,73.2,0.53,3,40.2,19.3,0.66,0.34,18.5,Stable
MX007,Mecp2_Partial_LOF,F,59,21.9,4468,12.8,0.39,63.9,0.45,2,36.4,22.0,0.74,0.44,16.2,Worsened
MX008,Mecp2_Partial_LOF,F,63,23.5,4576,15.1,0.46,71.0,0.51,3,38.7,20.1,0.68,0.37,17.8,Stable
MX009,Mecp2_Partial_LOF,M,58,25.1,4952,18.7,0.54,80.5,0.57,4,41.0,18.5,0.62,0.30,20.1,Improved
MX010,Mecp2_Partial_LOF,F,60,22.2,4329,11.9,0.38,61.7,0.44,2,35.1,22.6,0.75,0.46,15.8,Worsened
MX011,Mecp2_Partial_LOF,F,57,21.5,4701,16.4,0.50,75.4,0.54,3,39.4,19.0,0.65,0.35,18.9,Stable
MX012,Mecp2_Partial_LOF,M,62,26.9,4834,17.8,0.52,79.3,0.56,3,40.8,18.2,0.63,0.32,19.5,Stable
MX013,Mecp2_Partial_LOF,F,59,22.7,4416,13.7,0.42,67.1,0.47,2,36.8,21.1,0.71,0.40,17.0,Worsened
MX014,Mecp2_Partial_LOF,F,61,23.4,4548,14.8,0.45,70.3,0.50,3,38.1,20.4,0.67,0.38,17.6,Stable
MX015,Mecp2_Partial_LOF,M,58,25.6,5075,20.0,0.57,86.2,0.62,4,43.3,17.6,0.59,0.28,21.0,Improved
MX016,Mecp2_Partial_LOF,F,63,22.0,4298,12.1,0.37,60.9,0.43,2,34.7,23.0,0.76,0.47,15.5,Worsened
MX017,Mecp2_Partial_LOF,F,60,22.9,4637,15.9,0.48,74.0,0.52,3,39.0,19.7,0.66,0.36,18.2,Stable
MX018,Mecp2_Partial_LOF,M,59,26.1,4908,18.4,0.55,81.6,0.58,4,41.9,18.0,0.61,0.31,20.3,Improved
MX019,Mecp2_Partial_LOF,F,57,21.8,4479,13.5,0.40,66.4,0.46,2,36.0,21.8,0.73,0.43,16.7,Worsened
MX020,Mecp2_Partial_LOF,F,62,23.0,4589,15.4,0.47,72.6,0.51,3,38.5,20.0,0.68,0.37,17.9,Stable
MX021,Mecp2_Partial_LOF,M,60,25.4,4866,17.6,0.51,78.8,0.55,3,40.5,18.7,0.64,0.33,19.2,Stable
MX022,Mecp2_Partial_LOF,F,58,22.3,4357,12.6,0.39,64.5,0.45,2,35.6,22.2,0.74,0.45,16.1,Worsened
MX023,Mecp2_Partial_LOF,F,61,23.3,4715,16.7,0.49,76.8,0.54,3,39.9,19.2,0.65,0.34,18.8,Stable
MX024,Mecp2_Partial_LOF,M,59,26.0,5004,19.1,0.56,83.4,0.60,4,42.4,17.9,0.60,0.29,20.7,Improved
MX025,Mecp2_Partial_LOF,F,63,22.1,4286,11.7,0.36,59.8,0.42,2,34.3,23.4,0.77,0.48,15.2,Worsened
MX026,Mecp2_Partial_LOF,F,60,22.6,4524,14.6,0.44,68.9,0.49,3,37.6,20.8,0.70,0.39,17.3,Stable
MX027,Mecp2_Partial_LOF,M,58,25.9,4941,18.9,0.54,82.1,0.57,4,41.6,18.3,0.62,0.30,20.0,Improved
MX028,Mecp2_Partial_LOF,F,61,23.2,4461,13.9,0.43,67.6,0.48,2,36.9,21.3,0.71,0.41,16.8,Worsened
MX029,Mecp2_Partial_LOF,F,57,21.6,4669,16.2,0.50,75.0,0.53,3,39.2,19.4,0.66,0.35,18.6,Stable
MX030,Mecp2_Partial_LOF,M,62,26.6,4890,18.0,0.52,79.9,0.56,3,40.9,18.1,0.63,0.32,19.7,Stable
