Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Rotarod_Latency_s,Novel_Object_Discrimination_Index,PPI_pct,Resting_Gamma_Power_uV2,Cortical_Connectivity_Index,Stimulus_Evoked_HbO_AU,Respiratory_Variability_Index,Pupillary_Dilation_pct,Future_Outcome_Category
FX001,Fmr1_KD,M,45,184,5012,18.7,0.50,77.2,0.54,31.8,18.9,0.39,0.72,0.41,16.4,Worsened
FX002,Fmr1_KD,F,44,171,4728,16.1,0.46,74.3,0.51,34.5,17.8,0.43,0.76,0.38,17.2,Stable
FX003,Fmr1_KD,M,46,191,5187,20.4,0.53,80.6,0.56,29.7,19.4,0.37,0.69,0.44,15.9,Worsened
FX004,Fmr1_KD,F,43,168,4550,15.0,0.42,71.8,0.48,35.9,17.1,0.45,0.79,0.36,17.8,Stable
FX005,Fmr1_KD,M,47,197,4896,17.9,0.49,76.5,0.53,32.4,18.5,0.40,0.74,0.40,16.7,Stable
FX006,Fmr1_KD,F,45,174,4638,16.7,0.45,73.9,0.50,34.8,17.4,0.44,0.77,0.37,17.5,Stable
FX007,Fmr1_KD,M,44,186,5301,21.5,0.55,82.1,0.58,28.9,20.0,0.35,0.67,0.46,15.3,Worsened
FX008,Fmr1_KD,F,46,176,4479,14.6,0.41,70.6,0.47,36.4,16.8,0.46,0.81,0.35,18.1,Stable
FX009,Fmr1_KD,M,45,189,5074,19.2,0.52,78.4,0.55,30.6,19.1,0.38,0.71,0.43,16.0,Worsened
FX010,Fmr1_KD,F,47,178,4691,16.9,0.47,75.0,0.52,33.7,17.6,0.42,0.75,0.39,17.0,Stable
FX011,Fmr1_KD,M,43,182,4948,18.0,0.48,76.9,0.53,31.5,18.7,0.39,0.73,0.41,16.6,Stable
FX012,Fmr1_KD,F,44,170,4584,15.4,0.43,72.4,0.49,35.1,17.0,0.45,0.78,0.36,17.7,Stable
FX013,Fmr1_KD,M,46,193,5225,20.8,0.54,81.2,0.57,29.4,19.7,0.36,0.68,0.45,15.6,Improved
FX014,Fmr1_KD,F,45,175,4612,16.3,0.46,74.8,0.51,34.2,17.5,0.43,0.76,0.38,17.3,Stable
FX015,Fmr1_KD,M,47,199,4867,17.5,0.47,75.9,0.52,32.8,18.2,0.41,0.74,0.40,16.8,Stable
FX016,Fmr1_KD,F,43,169,4501,14.8,0.40,71.1,0.48,36.0,16.9,0.46,0.80,0.35,18.0,Worsened
FX017,Fmr1_KD,M,44,185,5154,20.1,0.53,79.6,0.56,30.1,19.3,0.37,0.70,0.44,15.8,Improved
FX018,Fmr1_KD,F,46,177,4680,16.6,0.45,73.5,0.50,34.6,17.3,0.44,0.77,0.37,17.4,Stable
FX019,Fmr1_KD,M,45,188,4991,18.5,0.49,77.8,0.54,31.2,18.8,0.39,0.72,0.42,16.3,Stable
FX020,Fmr1_KD,F,47,179,4576,15.7,0.44,72.7,0.49,35.4,17.1,0.45,0.79,0.36,17.9,Worsened
FX021,Fmr1_KD,M,43,183,5268,21.0,0.56,81.7,0.58,29.0,19.9,0.35,0.67,0.46,15.4,Improved
FX022,Fmr1_KD,F,44,172,4645,16.2,0.46,74.1,0.51,34.0,17.6,0.43,0.75,0.38,17.2,Stable
FX023,Fmr1_KD,M,46,194,4910,17.8,0.48,76.3,0.53,32.2,18.4,0.40,0.73,0.40,16.7,Stable
FX024,Fmr1_KD,F,45,174,4523,15.1,0.42,71.9,0.48,35.8,16.9,0.46,0.80,0.35,17.8,Worsened
FX025,Fmr1_KD,M,47,198,5106,19.7,0.52,79.1,0.55,30.5,19.0,0.38,0.71,0.43,16.1,Stable
