Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Marble_Bury_Count,Rotarod_Latency_s,Novel_Object_Discrimination_Index,PPI_pct,Resting_Beta_Power_uV2,Cortical_Coupling_Index,Sleep_Fragmentation_Index,Pupillary_Dilation_pct,Future_Outcome_Category
CT001,Cntnap2_Partial,M,58,24.6,5650,10.8,0.34,15,63.1,0.39,41.2,14.8,0.54,0.34,19.3,Worsened
CT002,Cntnap2_Partial,F,60,22.8,5482,12.4,0.38,13,67.5,0.42,39.8,15.2,0.57,0.31,20.1,Stable
CT003,Cntnap2_Partial,M,59,25.2,5871,9.7,0.31,16,59.4,0.37,40.6,14.6,0.53,0.35,18.8,Worsened
CT004,Cntnap2_Partial,F,61,23.1,5314,13.1,0.41,12,69.2,0.44,42.1,15.5,0.56,0.30,20.4,Stable
CT005,Cntnap2_Partial,M,57,24.9,6020,8.9,0.29,17,57.8,0.35,38.9,15.0,0.55,0.36,19.0,Worsened
CT006,Cntnap2_Partial,F,62,22.5,5408,14.0,0.43,11,71.0,0.46,41.7,14.9,0.58,0.29,20.7,Stable
CT007,Cntnap2_Partial,M,58,25.7,5763,10.1,0.33,15,61.5,0.38,40.1,15.3,0.54,0.34,19.5,Worsened
CT008,Cntnap2_Partial,F,60,23.4,5259,13.6,0.40,12,68.4,0.43,39.5,14.7,0.57,0.31,20.0,Stable
CT009,Cntnap2_Partial,M,59,24.8,5932,9.3,0.30,16,58.9,0.36,41.0,15.1,0.55,0.35,19.1,Worsened
CT010,Cntnap2_Partial,F,61,22.9,5366,12.8,0.39,13,66.8,0.41,40.7,14.8,0.56,0.32,19.8,Stable
CT011,Cntnap2_Partial,M,57,25.4,6105,8.5,0.27,17,56.2,0.34,39.2,15.4,0.53,0.37,18.6,Worsened
CT012,Cntnap2_Partial,F,62,23.0,5441,13.9,0.42,11,70.1,0.45,42.3,14.9,0.58,0.29,20.5,Stable
CT013,Cntnap2_Partial,M,58,24.7,5698,10.6,0.35,14,62.0,0.40,41.5,15.0,0.54,0.33,19.6,Stable
CT014,Cntnap2_Partial,F,60,22.7,5190,14.4,0.44,10,72.6,0.47,39.7,15.2,0.57,0.28,20.9,Improved
CT015,Cntnap2_Partial,M,59,25.6,5830,9.8,0.32,15,60.4,0.38,40.4,14.7,0.55,0.35,19.2,Worsened
CT016,Cntnap2_Partial,F,61,23.3,5335,12.7,0.39,12,67.1,0.42,41.8,15.3,0.56,0.31,20.2,Stable
CT017,Cntnap2_Partial,M,57,24.5,5984,8.7,0.28,17,57.0,0.35,39.1,15.1,0.54,0.36,18.9,Worsened
CT018,Cntnap2_Partial,F,62,22.6,5470,13.5,0.41,11,69.7,0.44,42.0,14.8,0.58,0.30,20.6,Stable
CT019,Cntnap2_Partial,M,58,25.1,5719,10.2,0.34,14,61.3,0.39,40.9,15.0,0.55,0.34,19.4,Stable
CT020,Cntnap2_Partial,F,60,22.8,5286,13.2,0.40,12,68.0,0.43,39.9,15.4,0.57,0.31,20.1,Stable
CT021,Cntnap2_Partial,M,59,25.8,6062,8.6,0.27,18,55.8,0.33,38.7,14.9,0.53,0.37,18.5,Worsened
CT022,Cntnap2_Partial,F,61,23.1,5412,14.1,0.43,10,71.4,0.46,42.4,15.1,0.58,0.29,20.8,Improved
CT023,Cntnap2_Partial,M,57,24.9,5791,9.5,0.31,16,59.7,0.37,40.2,14.6,0.54,0.35,19.0,Worsened
CT024,Cntnap2_Partial,F,62,22.9,5348,13.0,0.39,13,67.8,0.42,41.6,15.2,0.56,0.32,20.3,Stable
CT025,Cntnap2_Partial,M,58,25.3,5916,9.1,0.29,17,58.1,0.36,39.4,14.8,0.55,0.36,18.7,Worsened
CT026,Cntnap2_Partial,F,60,23.2,5227,14.5,0.45,10,73.1,0.48,42.2,15.0,0.57,0.28,21.0,Improved
CT027,Cntnap2_Partial,M,59,24.6,5679,10.9,0.35,14,62.4,0.40,41.3,15.3,0.54,0.33,19.7,Stable
CT028,Cntnap2_Partial,F,61,22.7,5389,12.6,0.38,12,66.5,0.41,40.0,14.9,0.56,0.31,19.9,Stable
CT029,Cntnap2_Partial,M,57,25.5,6048,8.8,0.28,18,56.5,0.34,38.8,15.4,0.53,0.37,18.6,Worsened
CT030,Cntnap2_Partial,F,62,23.0,5455,13.8,0.42,11,70.5,0.45,42.1,14.7,0.58,0.30,20.5,Stable
CT031,WT,M,58,25.0,4984,18.9,0.57,8,83.2,0.61,43.6,14.4,0.57,0.29,20.7,Improved
CT032,WT,F,60,23.4,4822,20.1,0.60,7,86.7,0.64,41.9,15.0,0.55,0.27,21.4,Stable
CT033,WT,M,59,25.7,5076,17.8,0.54,9,80.6,0.58,40.8,14.7,0.58,0.31,19.6,Stable
CT034,WT,F,61,22.9,4748,21.3,0.63,6,88.4,0.66,42.5,15.3,0.54,0.26,21.8,Improved
CT035,WT,M,57,24.8,4926,19.4,0.58,8,84.0,0.62,39.7,14.8,0.56,0.28,20.9,Stable
CT036,WT,F,62,23.3,4689,22.0,0.65,5,90.1,0.68,41.6,15.4,0.53,0.25,22.0,Improved
CT037,WT,M,58,25.4,5039,18.5,0.56,9,81.7,0.59,43.1,14.5,0.57,0.30,20.1,Stable
CT038,WT,F,60,22.7,4795,20.7,0.61,6,87.2,0.65,40.4,15.1,0.55,0.27,21.5,Stable
CT039,WT,M,59,25.9,5118,17.3,0.53,10,79.8,0.57,41.0,14.8,0.58,0.31,19.4,Worsened
CT040,WT,F,61,23.0,4712,21.5,0.64,5,89.0,0.67,42.3,15.2,0.54,0.26,21.9,Improved
CT041,WT,M,57,24.7,4960,19.1,0.57,8,82.8,0.61,39.9,14.6,0.56,0.28,20.8,Stable
CT042,WT,F,62,23.2,4664,22.3,0.66,5,91.4,0.69,41.7,15.5,0.53,0.24,22.3,Improved
CT043,WT,M,58,25.2,5055,18.0,0.55,9,80.9,0.58,43.3,14.4,0.57,0.30,19.9,Stable
CT044,WT,F,60,22.8,4780,20.4,0.60,7,85.8,0.63,40.7,15.0,0.55,0.27,21.3,Stable
CT045,WT,M,59,25.6,5142,17.5,0.54,10,79.1,0.56,41.4,14.9,0.58,0.31,19.7,Worsened
CT046,WT,F,61,23.1,4726,21.1,0.63,6,88.1,0.66,42.0,15.3,0.54,0.26,21.7,Improved
CT047,WT,M,57,24.9,4898,19.7,0.59,7,84.9,0.62,40.1,14.7,0.56,0.28,21.0,Stable
CT048,WT,F,62,23.4,4651,22.5,0.66,5,91.0,0.69,41.9,15.4,0.53,0.24,22.1,Improved
CT049,WT,M,58,25.5,5012,18.4,0.56,9,81.2,0.59,43.0,14.5,0.57,0.30,20.0,Stable
CT050,WT,F,60,22.6,4765,20.9,0.62,6,86.9,0.64,40.5,15.1,0.55,0.27,21.4,Stable
CT051,WT,M,59,25.8,5101,17.6,0.54,10,79.5,0.57,41.2,14.8,0.58,0.31,19.5,Worsened
CT052,WT,F,61,23.0,4704,21.7,0.64,5,89.5,0.67,42.4,15.2,0.54,0.26,21.8,Improved
CT053,WT,M,57,24.6,4941,19.0,0.58,8,83.7,0.61,39.8,14.6,0.56,0.28,20.7,Stable
CT054,WT,F,62,23.3,4678,22.1,0.65,5,90.7,0.68,41.8,15.5,0.53,0.25,22.2,Improved
CT055,WT,M,58,25.3,5064,18.2,0.55,9,81.5,0.58,43.4,14.4,0.57,0.30,19.8,Stable
CT056,WT,F,60,22.9,4792,20.6,0.61,6,87.5,0.65,40.6,15.0,0.55,0.27,21.2,Stable
CT057,WT,M,59,25.7,5127,17.4,0.53,10,79.3,0.56,41.1,14.9,0.58,0.31,19.6,Worsened
CT058,WT,F,61,23.1,4735,21.2,0.63,6,88.7,0.66,42.2,15.3,0.54,0.26,21.6,Improved
CT059,WT,M,57,24.8,4975,19.3,0.58,8,84.3,0.62,40.0,14.7,0.56,0.28,20.9,Stable
CT060,WT,F,62,23.2,4669,22.4,0.66,5,91.2,0.69,41.7,15.4,0.53,0.24,22.1,Improved
