Subject_ID,Group,Sex,Age_PND,Body_Weight_g,Attention_HitRate_pct,Attention_Omission_pct,Premature_Response_Count,Social_Interaction_Index,YMaze_Alternation_pct,Novel_Object_Location_Index,OpenField_Distance_cm,Plasma_Norepinephrine_pg_mL,Frontal_Theta_Beta_Ratio,Vigilance_Evoked_HbO_AU,Cognitive_P300_Latency_ms,Pupillary_Dilation_pct,Future_Outcome_Category
AD001,SHR,M,43,181,71.4,14.8,19,0.55,58.1,0.54,5288,322,3.42,0.41,311,24.8,Worsened
AD002,SHR,F,44,169,76.2,11.9,16,0.58,56.9,0.52,4975,301,3.18,0.45,307,23.4,Stable
AD003,SHR,M,45,188,69.8,15.7,21,0.53,58.8,0.55,5391,336,3.51,0.39,313,25.1,Worsened
AD004,SHR,F,46,174,78.5,10.8,15,0.57,55.7,0.51,4864,294,3.06,0.47,306,22.9,Stable
AD005,SHR,M,47,193,73.0,13.9,18,0.56,57.6,0.53,5217,315,3.33,0.42,310,24.2,Stable
AD006,SHR,F,43,167,79.1,10.1,14,0.59,56.1,0.50,4822,289,2.98,0.48,305,22.5,Improved
AD007,SHR,M,44,185,68.7,16.4,22,0.52,59.0,0.56,5450,341,3.60,0.38,314,25.4,Worsened
AD008,SHR,F,45,172,75.6,12.4,17,0.57,55.9,0.51,4910,298,3.12,0.46,307,23.1,Stable
AD009,SHR,M,46,190,70.9,15.1,20,0.54,58.4,0.54,5335,328,3.46,0.40,312,24.9,Worsened
AD010,SHR,F,47,176,77.8,11.2,15,0.58,56.3,0.52,4881,296,3.09,0.47,306,22.8,Stable
AD011,SHR,M,43,182,72.5,14.3,18,0.55,57.9,0.53,5260,319,3.37,0.41,310,24.4,Stable
AD012,SHR,F,44,170,80.0,9.8,13,0.60,55.8,0.50,4806,286,2.95,0.49,304,22.3,Improved
AD013,SHR,M,45,187,69.3,16.0,21,0.53,58.7,0.55,5416,338,3.55,0.39,313,25.2,Worsened
AD014,SHR,F,46,173,76.9,11.6,16,0.57,56.0,0.51,4927,300,3.15,0.45,307,23.3,Stable
AD015,SHR,M,47,194,74.1,13.4,17,0.56,57.3,0.53,5198,312,3.28,0.43,309,24.0,Stable
AD016,SHR,F,43,168,78.8,10.5,14,0.59,55.6,0.50,4844,291,3.01,0.48,305,22.6,Improved
AD017,SHR,M,44,184,68.9,16.2,22,0.52,59.1,0.56,5467,343,3.62,0.38,314,25.5,Worsened
AD018,SHR,F,45,171,75.8,12.2,17,0.58,56.2,0.52,4896,297,3.11,0.46,307,23.0,Stable
AD019,SHR,M,46,189,71.1,14.9,19,0.54,58.5,0.54,5312,325,3.44,0.40,311,24.7,Stable
AD020,SHR,F,47,175,77.3,11.3,15,0.57,55.9,0.51,4872,295,3.08,0.47,306,22.9,Stable
AD021,SHR,M,43,183,72.0,14.5,18,0.55,57.8,0.53,5249,320,3.39,0.41,310,24.5,Stable
