Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Novel_Object_Discrimination_Index,PPI_pct,Resting_Gamma_Power_uV2,Auditory_N1_Amplitude_uV,Cortical_Connectivity_Index,Pupillary_Dilation_pct,Locomotor_Habituation_Slope,Future_Outcome_Binary
SG001,Syngap1_Het,M,58,24.7,5480,15.8,0.46,0.55,35.8,17.6,-4.8,0.43,20.1,-0.18,Vulnerable
SG002,Syngap1_Het,F,60,22.9,5065,18.9,0.54,0.60,41.6,15.8,-5.6,0.48,22.7,-0.22,Resilient
SG003,Syngap1_Het,M,57,25.1,5722,14.6,0.42,0.51,33.4,18.8,-4.3,0.41,19.3,-0.16,Vulnerable
SG004,Syngap1_Het,F,61,23.5,4891,20.4,0.58,0.63,43.7,14.9,-6.1,0.50,23.5,-0.24,Resilient
SG005,Syngap1_Het,M,59,26.0,5613,16.2,0.47,0.56,37.2,17.1,-5.0,0.44,20.7,-0.19,Vulnerable
SG006,Syngap1_Het,F,58,22.4,4988,19.7,0.56,0.61,42.8,15.2,-5.8,0.49,23.0,-0.23,Resilient
SG007,Syngap1_Het,M,62,25.6,5845,13.9,0.40,0.49,32.7,19.4,-4.1,0.40,18.8,-0.15,Vulnerable
SG008,Syngap1_Het,F,60,23.1,5120,18.1,0.52,0.58,40.9,16.0,-5.5,0.47,22.4,-0.21,Resilient
SG009,Syngap1_Het,M,56,24.5,5539,15.1,0.45,0.54,36.1,17.9,-4.7,0.43,20.0,-0.18,Vulnerable
SG010,Syngap1_Het,F,63,23.8,4817,21.2,0.59,0.64,44.5,14.6,-6.2,0.51,23.9,-0.25,Resilient
SG011,Syngap1_Het,M,58,25.3,5669,14.4,0.41,0.50,34.1,18.5,-4.4,0.42,19.5,-0.17,Vulnerable
SG012,Syngap1_Het,F,59,22.7,5032,19.3,0.55,0.61,42.1,15.5,-5.7,0.48,22.8,-0.22,Resilient
SG013,Syngap1_Het,M,61,26.2,5764,15.7,0.46,0.55,36.8,17.4,-4.9,0.44,20.5,-0.19,Vulnerable
SG014,Syngap1_Het,F,57,22.6,4951,20.0,0.57,0.62,43.2,15.1,-5.9,0.49,23.2,-0.23,Resilient
SG015,Syngap1_Het,M,60,25.8,5890,13.6,0.39,0.48,31.9,19.8,-4.0,0.40,18.5,-0.14,Vulnerable
SG016,Syngap1_Het,F,58,23.0,5081,18.5,0.53,0.59,41.3,15.9,-5.4,0.47,22.5,-0.21,Resilient
SG017,Syngap1_Het,M,62,24.9,5571,16.0,0.47,0.56,37.5,17.0,-5.1,0.45,20.9,-0.20,Vulnerable
SG018,Syngap1_Het,F,59,22.3,4926,19.5,0.56,0.60,42.6,15.4,-5.8,0.49,22.9,-0.22,Resilient
SG019,Syngap1_Het,M,57,25.4,5711,14.8,0.43,0.52,34.8,18.2,-4.5,0.42,19.7,-0.17,Vulnerable
SG020,Syngap1_Het,F,61,23.4,4864,20.8,0.58,0.63,44.0,14.8,-6.0,0.50,23.6,-0.24,Resilient
SG021,Syngap1_Het,M,58,24.8,5499,15.4,0.45,0.54,35.5,17.7,-4.8,0.43,20.2,-0.18,Vulnerable
SG022,Syngap1_Het,F,60,22.8,5009,19.0,0.54,0.60,41.8,15.7,-5.6,0.48,22.6,-0.22,Resilient
SG023,Syngap1_Het,M,56,25.2,5788,14.1,0.41,0.50,33.1,19.1,-4.2,0.41,19.0,-0.15,Vulnerable
SG024,Syngap1_Het,F,63,23.7,4842,21.0,0.59,0.64,44.3,14.7,-6.1,0.51,23.8,-0.25,Resilient
SG025,Syngap1_Het,M,59,25.7,5634,15.9,0.46,0.55,36.9,17.3,-5.0,0.44,20.6,-0.19,Vulnerable
SG026,Syngap1_Het,F,58,22.5,4976,19.8,0.57,0.61,42.9,15.2,-5.8,0.49,23.1,-0.23,Resilient
SG027,Syngap1_Het,M,62,26.1,5869,13.7,0.40,0.49,32.4,19.6,-4.1,0.40,18.7,-0.14,Vulnerable
SG028,Syngap1_Het,F,60,23.2,5114,18.3,0.52,0.58,40.7,16.1,-5.5,0.47,22.3,-0.21,Resilient
SG029,Syngap1_Het,M,57,24.6,5550,15.0,0.44,0.53,35.9,17.8,-4.6,0.43,19.9,-0.18,Vulnerable
SG030,Syngap1_Het,F,61,23.6,4880,20.6,0.58,0.63,43.9,14.9,-6.0,0.50,23.4,-0.24,Resilient
SG031,WT,M,58,25.1,5258,17.2,0.51,0.59,39.8,16.2,-5.4,0.47,21.8,-0.21,Resilient
SG032,WT,F,60,23.1,4879,20.1,0.58,0.63,43.6,15.1,-6.0,0.50,23.6,-0.24,Resilient
SG033,WT,M,57,25.6,5410,16.0,0.48,0.56,37.1,17.1,-4.9,0.44,20.7,-0.19,Vulnerable
SG034,WT,F,61,23.8,4764,21.5,0.61,0.66,45.0,14.4,-6.3,0.52,24.0,-0.26,Resilient
SG035,WT,M,59,26.4,5336,17.8,0.52,0.60,40.5,16.0,-5.5,0.47,22.0,-0.21,Resilient
SG036,WT,F,58,22.7,4942,19.0,0.55,0.61,42.2,15.5,-5.7,0.48,22.8,-0.22,Resilient
SG037,WT,M,62,25.9,5481,15.2,0.45,0.53,35.7,18.0,-4.6,0.42,19.8,-0.17,Vulnerable
SG038,WT,F,60,23.4,4825,20.8,0.59,0.64,44.1,14.8,-6.1,0.50,23.7,-0.25,Resilient
