Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Novel_Object_Discrimination_Index,Self_Grooming_s,PPI_pct,Resting_BetaPower_uV2,Cortical_EI_Index,Synaptic_PSD95_AU,Pupillary_Dilation_pct,Future_Outcome_Binary
PT001,Pten_cHet,M,59,26.8,5342,15.9,0.44,0.56,72,38.4,14.8,0.61,0.88,20.1,Vulnerable
PT002,Pten_cHet,F,57,23.4,4988,18.7,0.52,0.60,61,42.1,13.7,0.58,0.81,22.4,Resilient
PT003,Pten_cHet,M,61,27.5,5489,14.8,0.41,0.53,79,36.7,15.5,0.63,0.91,19.6,Vulnerable
PT004,Pten_cHet,F,60,24.2,4821,20.1,0.55,0.62,58,43.3,13.2,0.57,0.79,23.1,Resilient
PT005,Pten_cHet,M,58,26.1,5214,16.6,0.46,0.57,70,39.5,14.4,0.60,0.86,20.8,Vulnerable
PT006,Pten_cHet,F,62,24.8,4915,19.4,0.54,0.61,60,41.7,13.8,0.58,0.82,22.7,Resilient
PT007,Pten_cHet,M,57,25.9,5598,13.9,0.39,0.51,83,35.9,15.9,0.64,0.93,19.2,Vulnerable
PT008,Pten_cHet,F,61,23.7,5056,18.1,0.50,0.59,64,42.6,13.5,0.57,0.80,22.1,Resilient
PT009,Pten_cHet,M,60,27.2,5405,15.3,0.43,0.55,75,37.8,15.0,0.62,0.89,19.9,Vulnerable
PT010,Pten_cHet,F,58,24.0,4876,20.5,0.56,0.63,57,43.9,13.1,0.56,0.78,23.4,Resilient
PT011,Pten_cHet,M,62,26.6,5268,16.1,0.45,0.57,71,39.1,14.6,0.60,0.85,20.5,Vulnerable
PT012,Pten_cHet,F,59,23.5,4999,18.9,0.53,0.60,62,41.4,13.6,0.58,0.81,22.5,Resilient
PT013,Pten_cHet,M,57,27.1,5527,14.5,0.40,0.52,80,36.4,15.7,0.63,0.92,19.4,Vulnerable
PT014,Pten_cHet,F,60,24.4,4849,19.8,0.55,0.62,59,42.9,13.3,0.57,0.79,23.0,Resilient
PT015,Pten_cHet,M,61,26.9,5316,16.4,0.46,0.56,73,38.8,14.7,0.61,0.87,20.6,Vulnerable
PT016,Pten_cHet,F,58,23.8,4962,19.1,0.53,0.61,61,41.9,13.7,0.58,0.82,22.6,Resilient
PT017,Pten_cHet,M,59,27.4,5461,15.0,0.42,0.54,77,37.1,15.3,0.62,0.90,19.7,Vulnerable
PT018,Pten_cHet,F,62,24.6,4898,20.0,0.55,0.62,58,43.0,13.2,0.57,0.79,23.2,Resilient
PT019,Pten_cHet,M,57,25.8,5235,16.7,0.47,0.58,69,39.8,14.3,0.60,0.85,20.9,Resilient
PT020,Pten_cHet,F,61,23.9,5034,18.3,0.51,0.59,63,42.3,13.5,0.58,0.80,22.2,Resilient
