Subject_ID,Species,Group,Age_Stage,EEG_SpikeRate_per_hr,Pupil_Light_Constriction_pct,Sleep_Fragmentation_Index,Social_Interaction_Index,Motor_Coordination_Score,Novelty_Exploration_Time_s,Grip_or_Hand_Function_Score,Arousal_Reactivity_Z,Group_Target,Future_Outcome_Category
M01,Mouse,Control,Juvenile,1.8,27.4,31,0.66,61,54,58,0.22,Control,Stable
M02,Mouse,Control,Juvenile,2.4,26.1,34,0.62,57,50,55,0.35,Control,Stable
M03,Mouse,Control,Juvenile,1.3,28.8,29,0.69,63,57,60,0.10,Control,Stable
M04,Mouse,Control,Juvenile,3.1,24.9,37,0.56,52,47,53,0.49,Control,Variable
M05,Mouse,Control,Adolescent,2.0,27.0,32,0.64,59,53,57,0.18,Control,Stable
M06,Mouse,Control,Adolescent,1.6,29.2,28,0.71,64,58,61,0.05,Control,Stable
M07,Mouse,Control,Adolescent,2.8,25.3,36,0.58,54,48,54,0.43,Control,Variable
M08,Mouse,Control,Adolescent,2.2,26.7,33,0.61,58,51,56,0.27,Control,Stable
M09,Mouse,Control,Adult,1.7,28.0,30,0.67,62,55,59,0.12,Control,Stable
M10,Mouse,Control,Adult,3.4,24.1,38,0.53,51,45,52,0.58,Control,Variable
M11,Mouse,Control,Adult,2.5,25.8,35,0.59,56,49,55,0.31,Control,Stable
M12,Mouse,Control,Adult,1.4,29.0,27,0.72,65,59,62,-0.02,Control,Stable
M13,Mouse,CDD,Juvenile,6.8,22.5,43,0.45,46,42,45,0.71,CDD,Variable
M14,Mouse,CDD,Juvenile,5.9,23.4,41,0.49,48,44,47,0.60,CDD,Variable
M15,Mouse,CDD,Juvenile,8.2,20.8,47,0.38,40,36,39,0.95,CDD,Persistent
M16,Mouse,CDD,Juvenile,3.7,25.7,36,0.57,53,49,54,0.40,CDD,Stable
M17,Mouse,CDD,Adolescent,6.1,22.9,42,0.46,45,41,44,0.68,CDD,Variable
M18,Mouse,CDD,Adolescent,4.8,24.6,39,0.52,50,46,50,0.47,CDD,Stable
M19,Mouse,CDD,Adolescent,7.9,21.1,48,0.37,39,35,38,1.02,CDD,Persistent
M20,Mouse,CDD,Adolescent,3.9,26.0,35,0.60,55,50,55,0.29,CDD,Stable
M21,Mouse,CDD,Adult,6.5,22.0,44,0.43,44,40,43,0.74,CDD,Variable
M22,Mouse,CDD,Adult,4.6,24.8,38,0.54,49,45,49,0.42,CDD,Stable
M23,Mouse,CDD,Adult,8.6,20.2,49,0.35,37,34,37,1.10,CDD,Persistent
M24,Mouse,CDD,Adult,5.2,23.7,40,0.50,47,43,46,0.56,CDD,Variable
H01,Human,Control,Child,2.1,28.1,30,0.68,63,56,60,0.16,Control,Stable
H02,Human,Control,Child,2.7,26.4,34,0.61,58,51,56,0.33,Control,Stable
H03,Human,Control,Child,1.5,29.0,28,0.70,64,58,61,0.08,Control,Stable
H04,Human,Control,Child,3.0,25.1,36,0.57,53,47,54,0.46,Control,Variable
H05,Human,Control,Adolescent,2.3,27.3,32,0.65,60,54,58,0.21,Control,Stable
H06,Human,Control,Adolescent,1.8,28.7,29,0.69,62,57,60,0.04,Control,Stable
H07,Human,Control,Adolescent,3.2,24.8,37,0.55,52,46,53,0.51,Control,Variable
H08,Human,Control,Adolescent,2.4,26.0,33,0.60,57,50,55,0.28,Control,Stable
H09,Human,Control,Adult,1.9,28.4,31,0.66,61,55,59,0.14,Control,Stable
H10,Human,Control,Adult,3.5,24.5,38,0.54,51,45,52,0.59,Control,Variable
H11,Human,Control,Adult,2.6,25.7,35,0.58,56,48,55,0.34,Control,Stable
H12,Human,Control,Adult,1.6,29.3,27,0.71,65,59,62,-0.03,Control,Stable
H13,Human,CDD,Child,7.1,22.1,44,0.44,45,41,44,0.76,CDD,Variable
H14,Human,CDD,Child,5.6,23.8,40,0.50,48,44,48,0.55,CDD,Variable
H15,Human,CDD,Child,8.4,20.5,48,0.36,38,35,37,1.00,CDD,Persistent
H16,Human,CDD,Child,3.8,25.5,36,0.58,54,49,54,0.37,CDD,Stable
H17,Human,CDD,Adolescent,6.4,22.6,43,0.45,44,40,43,0.72,CDD,Variable
H18,Human,CDD,Adolescent,4.9,24.3,39,0.53,50,45,49,0.45,CDD,Stable
H19,Human,CDD,Adolescent,8.0,20.9,47,0.38,39,36,38,1.04,CDD,Persistent
H20,Human,CDD,Adolescent,4.1,25.9,35,0.59,55,50,55,0.30,CDD,Stable
H21,Human,CDD,Adult,6.7,21.9,45,0.42,43,39,42,0.79,CDD,Variable
H22,Human,CDD,Adult,5.0,24.1,40,0.51,47,44,47,0.50,CDD,Variable
H23,Human,CDD,Adult,8.8,19.8,49,0.34,36,33,36,1.12,CDD,Persistent
H24,Human,CDD,Adult,4.5,24.9,38,0.55,49,46,49,0.41,CDD,Stable
