Subject_ID,Species,Group,Age_Stage,EEG_LowFreq_Power,Respiratory_Irregularity_Index,Pupil_Reactivity_pct,Social_Engagement_Index,Motor_Coordination_Score,Locomotor_Activity_Index,Sleep_Disruption_Index,Arousal_Reactivity_Z,Group_Target,Future_Outcome_Category
M01,Mouse,Control,Juvenile,0.94,29,31.2,0.63,60,52,30,0.18,Control,Stable
M02,Mouse,Control,Juvenile,1.01,31,29.8,0.59,57,49,33,0.29,Control,Stable
M03,Mouse,Control,Juvenile,0.88,27,32.5,0.66,62,54,28,0.05,Control,Stable
M04,Mouse,Control,Juvenile,1.09,34,28.7,0.54,53,47,36,0.42,Control,Variable
M05,Mouse,Control,Adolescent,0.97,30,30.9,0.61,59,51,31,0.21,Control,Stable
M06,Mouse,Control,Adolescent,0.85,26,33.0,0.68,63,55,27,0.01,Control,Stable
M07,Mouse,Control,Adolescent,1.12,35,28.1,0.55,54,46,37,0.48,Control,Variable
M08,Mouse,Control,Adolescent,0.99,32,30.1,0.60,58,50,32,0.26,Control,Stable
M09,Mouse,Control,Adult,0.91,28,31.7,0.64,61,53,29,0.13,Control,Stable
M10,Mouse,Control,Adult,1.15,36,27.9,0.52,52,45,38,0.57,Control,Variable
M11,Mouse,Control,Adult,1.03,33,29.5,0.57,56,48,34,0.34,Control,Stable
M12,Mouse,Control,Adult,0.87,27,32.8,0.67,64,54,28,-0.03,Control,Stable
M13,Mouse,Rett,Juvenile,1.26,43,26.9,0.48,47,43,41,0.63,Rett,Variable
M14,Mouse,Rett,Juvenile,1.18,40,28.2,0.51,49,45,39,0.49,Rett,Variable
M15,Mouse,Rett,Juvenile,1.34,47,24.8,0.41,40,37,46,0.86,Rett,Persistent
M16,Mouse,Rett,Juvenile,1.05,34,29.4,0.57,54,48,35,0.33,Rett,Stable
M17,Mouse,Rett,Adolescent,1.22,42,27.1,0.46,45,42,42,0.60,Rett,Variable
M18,Mouse,Rett,Adolescent,1.10,37,28.7,0.54,51,46,37,0.39,Rett,Stable
M19,Mouse,Rett,Adolescent,1.38,48,24.3,0.39,38,35,47,0.93,Rett,Persistent
M20,Mouse,Rett,Adolescent,0.98,33,30.0,0.60,55,49,34,0.24,Rett,Stable
M21,Mouse,Rett,Adult,1.24,44,26.5,0.44,44,41,43,0.66,Rett,Variable
M22,Mouse,Rett,Adult,1.12,38,28.9,0.52,50,45,38,0.41,Rett,Stable
M23,Mouse,Rett,Adult,1.41,49,23.9,0.37,36,34,48,1.01,Rett,Persistent
M24,Mouse,Rett,Adult,1.16,39,27.8,0.50,48,44,40,0.52,Rett,Variable
H01,Human,Control,Child,0.96,30,30.8,0.64,61,53,31,0.16,Control,Stable
H02,Human,Control,Child,1.02,32,29.4,0.58,56,49,34,0.31,Control,Stable
H03,Human,Control,Child,0.89,28,32.1,0.67,63,55,28,0.07,Control,Stable
H04,Human,Control,Child,1.08,35,28.5,0.55,54,47,36,0.45,Control,Variable
H05,Human,Control,Adolescent,0.95,29,31.0,0.62,60,52,30,0.19,Control,Stable
H06,Human,Control,Adolescent,0.86,27,33.2,0.69,64,56,27,0.00,Control,Stable
H07,Human,Control,Adolescent,1.11,34,28.0,0.56,55,46,37,0.50,Control,Variable
H08,Human,Control,Adolescent,1.00,31,30.2,0.61,58,50,32,0.27,Control,Stable
H09,Human,Control,Adult,0.92,29,31.5,0.65,62,53,29,0.14,Control,Stable
H10,Human,Control,Adult,1.14,36,27.7,0.53,52,45,38,0.58,Control,Variable
H11,Human,Control,Adult,1.04,33,29.3,0.57,56,48,35,0.35,Control,Stable
H12,Human,Control,Adult,0.88,28,32.6,0.66,63,54,29,-0.02,Control,Stable
H13,Human,Rett,Child,1.25,42,27.0,0.47,46,42,42,0.61,Rett,Variable
H14,Human,Rett,Child,1.17,39,28.3,0.52,49,45,39,0.47,Rett,Variable
H15,Human,Rett,Child,1.36,47,24.6,0.40,39,36,46,0.88,Rett,Persistent
H16,Human,Rett,Child,1.04,34,29.6,0.58,54,48,35,0.32,Rett,Stable
H17,Human,Rett,Adolescent,1.23,43,26.8,0.45,44,41,43,0.64,Rett,Variable
H18,Human,Rett,Adolescent,1.09,37,28.8,0.53,50,46,37,0.38,Rett,Stable
H19,Human,Rett,Adolescent,1.39,48,24.1,0.38,37,35,47,0.95,Rett,Persistent
H20,Human,Rett,Adolescent,0.99,33,30.1,0.59,55,49,34,0.23,Rett,Stable
H21,Human,Rett,Adult,1.26,44,26.3,0.43,43,40,44,0.67,Rett,Variable
H22,Human,Rett,Adult,1.11,38,29.0,0.51,49,44,38,0.40,Rett,Stable
H23,Human,Rett,Adult,1.42,49,23.7,0.36,35,33,48,1.03,Rett,Persistent
H24,Human,Rett,Adult,1.15,39,27.6,0.49,47,43,40,0.51,Rett,Variable
