Subject_ID,Species,Group,Age_Stage,EEG_Frontal_AlphaAsymmetry,HRV_RMSSD_ms,Sleep_Spindle_Density,Pupil_Dilation_Challenge_pct,Electrodermal_Reactivity_Z,Startle_Amplitude_Z,Respiratory_Variability_SD,EEG_ThetaPower_Relative,Group_Target,Future_Outcome_Category
M01,Mouse,Control,Juvenile,0.14,31.2,2.85,17.8,0.24,0.18,0.41,0.92,Control,Stable
M02,Mouse,Control,Juvenile,0.11,29.7,2.71,18.5,0.31,0.26,0.45,0.96,Control,Stable
M03,Mouse,Control,Juvenile,0.16,32.4,2.93,16.9,0.12,0.09,0.38,0.88,Control,Stable
M04,Mouse,Control,Juvenile,0.09,28.9,2.66,19.4,0.36,0.33,0.47,1.01,Control,Variable
M05,Mouse,Control,Adolescent,0.13,30.8,2.80,17.3,0.20,0.15,0.42,0.91,Control,Stable
M06,Mouse,Control,Adolescent,0.17,33.0,2.97,16.5,0.08,0.04,0.37,0.86,Control,Stable
M07,Mouse,Control,Adolescent,0.10,29.1,2.63,18.9,0.35,0.29,0.46,0.99,Control,Variable
M08,Mouse,Control,Adolescent,0.12,30.0,2.74,17.6,0.27,0.21,0.43,0.94,Control,Stable
M09,Mouse,Control,Adult,0.15,31.8,2.89,17.1,0.18,0.12,0.40,0.89,Control,Stable
M10,Mouse,Control,Adult,0.08,28.4,2.58,19.7,0.39,0.36,0.48,1.04,Control,Variable
M11,Mouse,Control,Adult,0.11,29.5,2.69,18.2,0.29,0.25,0.44,0.97,Control,Stable
M12,Mouse,Control,Adult,0.16,32.6,2.95,16.7,0.10,0.07,0.39,0.87,Control,Stable
M13,Mouse,MDD,Juvenile,0.04,24.8,2.34,18.1,0.28,0.24,0.43,0.95,MDD,Variable
M14,Mouse,MDD,Juvenile,0.06,26.0,2.41,17.4,0.23,0.19,0.41,0.91,MDD,Stable
M15,Mouse,MDD,Juvenile,0.01,22.7,2.18,19.0,0.35,0.31,0.46,1.00,MDD,Persistent
M16,Mouse,MDD,Juvenile,0.09,28.2,2.60,16.8,0.14,0.10,0.39,0.88,MDD,Stable
M17,Mouse,MDD,Adolescent,0.05,25.1,2.30,18.6,0.30,0.27,0.44,0.97,MDD,Variable
M18,Mouse,MDD,Adolescent,0.07,26.8,2.47,17.2,0.19,0.16,0.40,0.90,MDD,Stable
M19,Mouse,MDD,Adolescent,0.00,22.1,2.12,19.5,0.38,0.34,0.47,1.02,MDD,Persistent
M20,Mouse,MDD,Adolescent,0.10,28.7,2.64,16.6,0.11,0.08,0.38,0.87,MDD,Stable
M21,Mouse,MDD,Adult,0.03,24.3,2.26,18.8,0.32,0.28,0.45,0.98,MDD,Variable
M22,Mouse,MDD,Adult,0.06,26.4,2.44,17.5,0.22,0.18,0.41,0.92,MDD,Stable
M23,Mouse,MDD,Adult,-0.01,21.9,2.09,19.2,0.40,0.35,0.48,1.03,MDD,Persistent
M24,Mouse,MDD,Adult,0.08,27.9,2.56,16.9,0.15,0.11,0.39,0.89,MDD,Stable
H01,Human,Control,Child,0.13,30.9,2.82,17.5,0.22,0.17,0.42,0.93,Control,NA
H02,Human,Control,Child,0.10,29.4,2.68,18.3,0.30,0.24,0.45,0.97,Control,NA
H03,Human,Control,Child,0.15,32.1,2.90,16.8,0.11,0.08,0.38,0.89,Control,NA
H04,Human,Control,Child,0.09,28.7,2.65,19.2,0.35,0.32,0.47,1.00,Control,NA
H05,Human,Control,Adolescent,0.12,30.5,2.78,17.2,0.19,0.14,0.41,0.92,Control,NA
H06,Human,Control,Adolescent,0.16,32.7,2.96,16.4,0.07,0.05,0.37,0.87,Control,NA
H07,Human,Control,Adolescent,0.10,29.0,2.62,18.8,0.34,0.28,0.46,0.99,Control,NA
H08,Human,Control,Adolescent,0.11,29.8,2.73,17.7,0.26,0.20,0.43,0.95,Control,NA
H09,Human,Control,Adult,0.14,31.5,2.87,17.0,0.17,0.11,0.40,0.90,Control,NA
H10,Human,Control,Adult,0.08,28.3,2.57,19.5,0.38,0.35,0.48,1.03,Control,NA
H11,Human,Control,Adult,0.11,29.6,2.70,18.1,0.28,0.23,0.44,0.96,Control,NA
H12,Human,Control,Adult,0.15,32.4,2.94,16.6,0.09,0.06,0.39,0.88,Control,NA
H13,Human,MDD,Child,0.11,29.8,2.75,17.9,0.25,0.20,0.43,0.94,MDD,NA
H14,Human,MDD,Child,0.09,28.9,2.66,18.4,0.31,0.26,0.45,0.98,MDD,NA
H15,Human,MDD,Child,0.13,31.0,2.83,16.9,0.14,0.09,0.39,0.90,MDD,NA
H16,Human,MDD,Child,0.08,28.4,2.61,19.1,0.36,0.31,0.47,1.01,MDD,NA
H17,Human,MDD,Adolescent,0.12,30.2,2.77,17.3,0.20,0.15,0.41,0.92,MDD,NA
H18,Human,MDD,Adolescent,0.14,31.6,2.88,16.7,0.12,0.08,0.38,0.89,MDD,NA
H19,Human,MDD,Adolescent,0.10,29.1,2.67,18.7,0.33,0.29,0.46,0.99,MDD,NA
H20,Human,MDD,Adolescent,0.07,27.9,2.55,19.4,0.39,0.34,0.48,1.02,MDD,NA
H21,Human,MDD,Adult,0.11,29.7,2.71,17.6,0.24,0.19,0.42,0.94,MDD,NA
H22,Human,MDD,Adult,0.09,28.8,2.63,18.2,0.29,0.24,0.44,0.97,MDD,NA
H23,Human,MDD,Adult,0.13,31.2,2.84,16.8,0.13,0.10,0.39,0.90,MDD,NA
H24,Human,MDD,Adult,0.08,28.1,2.59,19.0,0.37,0.33,0.47,1.01,MDD,NA
