Subject_ID,Group,Age_Stage,EEG_ThetaGamma_Ratio,Pupil_Novelty_Dilation_pct,Sleep_Fragmentation_Index,Arousal_Reactivity_Z,Auditory_Threshold_dB,Prepulse_Inhibition_pct,Visual_Contrast_Threshold_pct,Tactile_Withdrawal_Threshold_g,Social_Interaction_Index,Novelty_Exploration_Time_s,Locomotor_Variability_SD,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,1.72,18.4,30,0.18,33,46,21,0.86,0.60,51,0.49,Control,Stable
M02,Control,Juvenile,1.81,17.9,32,0.24,34,44,22,0.82,0.58,49,0.52,Control,Stable
M03,Control,Juvenile,1.66,19.2,28,0.09,31,48,20,0.90,0.63,53,0.47,Control,Stable
M04,Control,Juvenile,1.89,17.1,34,0.33,36,42,24,0.79,0.55,47,0.55,Control,Variable
M05,Control,Juvenile,1.75,18.7,31,0.20,33,45,21,0.85,0.61,50,0.50,Control,Stable
M06,Control,Juvenile,1.63,19.5,27,0.05,30,49,19,0.92,0.64,54,0.46,Control,Stable
M07,Control,Adolescent,1.84,17.4,33,0.29,35,43,23,0.80,0.57,48,0.54,Control,Variable
M08,Control,Adolescent,1.77,18.1,30,0.16,32,46,21,0.87,0.59,50,0.49,Control,Stable
M09,Control,Adolescent,1.69,19.0,29,0.11,31,47,20,0.89,0.62,52,0.48,Control,Stable
M10,Control,Adolescent,1.92,16.8,35,0.38,37,41,24,0.77,0.54,46,0.57,Control,Variable
M11,Control,Adolescent,1.79,17.8,31,0.22,34,44,22,0.84,0.58,49,0.51,Control,Stable
M12,Control,Adolescent,1.65,19.3,28,0.08,30,48,19,0.91,0.63,53,0.47,Control,Stable
M13,Control,Adult,1.74,18.3,30,0.19,33,45,21,0.86,0.60,51,0.50,Control,Stable
M14,Control,Adult,1.83,17.6,32,0.27,35,43,23,0.81,0.57,48,0.53,Control,Variable
M15,Control,Adult,1.68,19.1,29,0.10,31,47,20,0.89,0.62,52,0.48,Control,Stable
M16,Control,Adult,1.90,16.9,34,0.35,36,42,24,0.78,0.55,47,0.56,Control,Variable
M17,Control,Adult,1.76,18.5,31,0.21,33,45,22,0.85,0.59,50,0.50,Control,Stable
M18,Control,Adult,1.64,19.4,27,0.06,30,49,19,0.92,0.64,54,0.46,Control,Stable
M19,Control,Adult,1.86,17.2,33,0.31,35,43,23,0.80,0.56,48,0.54,Control,Variable
M20,Control,Adult,1.71,18.9,29,0.13,32,46,20,0.88,0.61,52,0.49,Control,Stable
M21,Control,Adult,1.80,17.7,31,0.23,34,44,22,0.83,0.58,49,0.52,Control,Stable
M22,Control,Adult,1.67,19.0,28,0.09,31,48,20,0.90,0.63,53,0.47,Control,Stable
M23,Control,Adult,1.93,16.7,35,0.39,37,41,25,0.76,0.54,46,0.57,Control,Variable
M24,Control,Adult,1.73,18.6,30,0.18,33,45,21,0.86,0.60,51,0.50,Control,Stable
M25,ASD,Juvenile,1.97,15.9,36,0.44,38,38,26,0.73,0.58,49,0.52,ASD,Variable
M26,ASD,Juvenile,1.88,16.7,34,0.35,36,40,24,0.77,0.60,50,0.50,ASD,Stable
M27,ASD,Juvenile,2.08,14.8,39,0.57,40,35,28,0.69,0.55,46,0.56,ASD,Persistent
M28,ASD,Juvenile,1.79,17.9,31,0.24,34,44,22,0.82,0.62,52,0.48,ASD,Stable
M29,ASD,Juvenile,1.94,16.1,35,0.41,37,39,25,0.75,0.57,48,0.53,ASD,Variable
M30,ASD,Juvenile,2.12,14.5,40,0.62,41,34,29,0.66,0.53,45,0.58,ASD,Persistent
M31,ASD,Adolescent,1.85,17.0,33,0.32,35,41,24,0.79,0.61,51,0.49,ASD,Stable
M32,ASD,Adolescent,2.01,15.6,37,0.48,38,37,27,0.72,0.56,47,0.55,ASD,Variable
M33,ASD,Adolescent,1.90,16.5,34,0.37,36,40,25,0.76,0.59,50,0.51,ASD,Stable
M34,ASD,Adolescent,2.15,14.2,41,0.66,42,33,30,0.65,0.54,44,0.59,ASD,Persistent
M35,ASD,Adolescent,1.82,17.6,32,0.28,34,43,23,0.81,0.63,53,0.47,ASD,Stable
M36,ASD,Adolescent,1.99,15.8,36,0.45,38,38,26,0.73,0.57,48,0.54,ASD,Variable
M37,ASD,Adult,1.87,16.8,34,0.36,36,40,24,0.78,0.60,50,0.50,ASD,Stable
M38,ASD,Adult,2.05,15.1,38,0.54,39,36,28,0.70,0.55,46,0.57,ASD,Persistent
M39,ASD,Adult,1.78,18.0,31,0.22,33,44,22,0.83,0.62,52,0.48,ASD,Stable
M40,ASD,Adult,1.96,16.0,35,0.42,37,39,25,0.74,0.58,49,0.52,ASD,Variable
M41,ASD,Adult,2.11,14.6,40,0.61,41,34,29,0.67,0.54,45,0.58,ASD,Persistent
M42,ASD,Adult,1.84,17.2,33,0.31,35,42,24,0.80,0.61,51,0.49,ASD,Stable
M43,ASD,Adult,1.92,16.3,35,0.39,37,39,25,0.75,0.59,49,0.53,ASD,Variable
M44,ASD,Adult,2.14,14.3,41,0.65,42,33,30,0.64,0.53,44,0.60,ASD,Persistent
M45,ASD,Adult,1.81,17.7,32,0.27,34,43,23,0.81,0.63,53,0.47,ASD,Stable
M46,ASD,Adult,2.00,15.7,37,0.47,38,37,27,0.72,0.56,47,0.55,ASD,Variable
M47,ASD,Adult,1.89,16.6,34,0.34,36,40,24,0.77,0.60,50,0.50,ASD,Stable
M48,ASD,Adult,2.09,14.7,39,0.58,40,35,28,0.68,0.55,46,0.57,ASD,Persistent
