Subject_ID,Group,Age_Stage,ISOI_FrontoParietal_FC,ISOI_Interhemispheric_Somatomotor_FC,ISOI_DefaultLike_Modularity,ISOI_SensoryAssociation_Coupling,Ca_PrefrontalEnsemble_Synchrony,Ca_Somatomotor_Coactivity_Rate,Ca_LongRange_Correlation,Ca_Network_Burst_Probability,Ca_SeededConnectivity_V1_PFC,Social_Interaction_Index,OpenField_Distance_m,Rotarod_Latency_s,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,0.44,0.52,0.36,0.39,0.57,12.4,0.41,0.22,0.35,0.61,24.8,71,Control,Stable
M02,Control,Juvenile,0.41,0.49,0.38,0.37,0.54,11.7,0.39,0.24,0.33,0.58,26.1,68,Control,Stable
M03,Control,Juvenile,0.46,0.54,0.35,0.40,0.59,12.9,0.43,0.21,0.36,0.63,23.9,73,Control,Stable
M04,Control,Juvenile,0.39,0.47,0.40,0.35,0.52,11.2,0.37,0.25,0.31,0.56,27.4,65,Control,Variable
M05,Control,Juvenile,0.43,0.51,0.37,0.38,0.56,12.1,0.40,0.23,0.34,0.60,25.3,70,Control,Stable
M06,Control,Juvenile,0.47,0.55,0.34,0.41,0.60,13.1,0.44,0.20,0.37,0.64,23.4,74,Control,Stable
M07,Control,Adolescent,0.40,0.48,0.39,0.36,0.53,11.5,0.38,0.24,0.32,0.57,26.7,66,Control,Variable
M08,Control,Adolescent,0.45,0.53,0.36,0.39,0.58,12.6,0.42,0.22,0.35,0.61,24.6,72,Control,Stable
M09,Control,Adolescent,0.42,0.50,0.37,0.38,0.55,11.9,0.40,0.23,0.34,0.59,25.8,69,Control,Stable
M10,Control,Adolescent,0.38,0.46,0.41,0.34,0.51,10.9,0.36,0.26,0.30,0.55,28.0,64,Control,Variable
M11,Control,Adolescent,0.44,0.52,0.36,0.39,0.57,12.3,0.41,0.22,0.35,0.60,25.0,71,Control,Stable
M12,Control,Adolescent,0.46,0.54,0.35,0.40,0.59,12.8,0.43,0.21,0.36,0.62,24.1,73,Control,Stable
M13,Control,Adult,0.43,0.51,0.37,0.38,0.56,12.0,0.40,0.23,0.34,0.60,25.5,70,Control,Stable
M14,Control,Adult,0.40,0.48,0.39,0.36,0.53,11.4,0.38,0.24,0.32,0.57,26.8,66,Control,Variable
M15,Control,Adult,0.45,0.53,0.36,0.39,0.58,12.7,0.42,0.22,0.35,0.61,24.7,72,Control,Stable
M16,Control,Adult,0.39,0.47,0.40,0.35,0.52,11.1,0.37,0.25,0.31,0.56,27.2,65,Control,Variable
M17,Control,Adult,0.44,0.52,0.37,0.38,0.57,12.2,0.41,0.22,0.34,0.60,25.1,71,Control,Stable
M18,Control,Adult,0.47,0.55,0.34,0.41,0.60,13.0,0.44,0.20,0.37,0.63,23.6,74,Control,Stable
M19,Control,Adult,0.41,0.49,0.38,0.37,0.54,11.8,0.39,0.24,0.33,0.58,26.0,68,Control,Stable
M20,Control,Adult,0.38,0.46,0.41,0.34,0.51,10.8,0.36,0.26,0.30,0.55,28.1,64,Control,Variable
M21,Control,Adult,0.43,0.51,0.37,0.38,0.56,12.1,0.40,0.23,0.34,0.60,25.4,70,Control,Stable
M22,Control,Adult,0.46,0.54,0.35,0.40,0.59,12.9,0.43,0.21,0.36,0.62,24.0,73,Control,Stable
M23,Control,Adult,0.40,0.48,0.39,0.36,0.53,11.3,0.38,0.25,0.32,0.57,27.0,66,Control,Variable
M24,Control,Adult,0.44,0.52,0.36,0.39,0.57,12.4,0.41,0.22,0.35,0.61,24.9,71,Control,Stable
M25,CDD,Juvenile,0.36,0.44,0.41,0.33,0.49,10.5,0.34,0.27,0.27,0.58,25.7,68,CDD,Variable
M26,CDD,Juvenile,0.39,0.47,0.39,0.35,0.52,11.0,0.36,0.25,0.29,0.60,24.9,69,CDD,Stable
M27,CDD,Juvenile,0.32,0.40,0.43,0.30,0.45,9.6,0.31,0.30,0.24,0.54,27.2,64,CDD,Persistent
