Subject_ID,Group,Age_Stage,ISOI_FrontoParietal_FC,ISOI_Interhemispheric_Visual_FC,ISOI_Association_Modularity,ISOI_SomatosensoryAssociation_Coupling,Ca_Prefrontal_Synchrony,Ca_LongRange_Correlation,Ca_Network_Burst_Probability,Ca_SeededConnectivity_M1_PFC,PV_CellDensity_per_mm2,Synaptophysin_Intensity_AU,Microglia_Load_pctArea,Social_Interaction_Index,OpenField_Distance_m,Rotarod_Latency_s,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,0.43,0.47,0.36,0.40,0.56,0.42,0.23,0.34,118,0.94,3.8,0.61,24.9,70,Control,Stable
M02,Control,Juvenile,0.40,0.45,0.38,0.37,0.53,0.39,0.25,0.32,114,0.90,4.1,0.58,26.0,67,Control,Stable
M03,Control,Juvenile,0.45,0.49,0.35,0.41,0.58,0.44,0.22,0.35,121,0.97,3.6,0.63,23.8,72,Control,Stable
M04,Control,Juvenile,0.38,0.43,0.40,0.35,0.51,0.37,0.27,0.30,111,0.87,4.4,0.56,27.2,65,Control,Variable
M05,Control,Juvenile,0.42,0.46,0.37,0.39,0.55,0.41,0.24,0.33,116,0.92,3.9,0.60,25.1,69,Control,Stable
M06,Control,Juvenile,0.46,0.50,0.34,0.42,0.59,0.45,0.21,0.36,123,0.99,3.5,0.64,23.3,73,Control,Stable
M07,Control,Adolescent,0.39,0.44,0.39,0.36,0.52,0.38,0.26,0.31,112,0.88,4.3,0.57,26.8,66,Control,Variable
M08,Control,Adolescent,0.44,0.48,0.36,0.40,0.57,0.43,0.22,0.34,119,0.95,3.7,0.61,24.5,71,Control,Stable
M09,Control,Adolescent,0.41,0.46,0.37,0.38,0.54,0.40,0.24,0.33,115,0.91,4.0,0.59,25.7,68,Control,Stable
M10,Control,Adolescent,0.37,0.42,0.41,0.34,0.50,0.36,0.28,0.29,109,0.85,4.6,0.55,27.9,64,Control,Variable
M11,Control,Adolescent,0.43,0.47,0.36,0.39,0.56,0.42,0.23,0.34,117,0.93,3.8,0.60,25.0,70,Control,Stable
M12,Control,Adolescent,0.45,0.49,0.35,0.41,0.58,0.44,0.22,0.35,121,0.96,3.6,0.62,24.0,72,Control,Stable
M13,Control,Adult,0.42,0.46,0.37,0.39,0.55,0.41,0.24,0.33,116,0.92,3.9,0.60,25.4,69,Control,Stable
M14,Control,Adult,0.39,0.44,0.39,0.36,0.52,0.38,0.26,0.31,113,0.89,4.2,0.57,26.6,66,Control,Variable
M15,Control,Adult,0.44,0.48,0.36,0.40,0.57,0.43,0.22,0.34,119,0.95,3.7,0.61,24.6,71,Control,Stable
M16,Control,Adult,0.38,0.43,0.40,0.35,0.51,0.37,0.27,0.30,110,0.86,4.5,0.56,27.1,65,Control,Variable
M17,Control,Adult,0.43,0.47,0.37,0.38,0.56,0.42,0.23,0.33,117,0.93,3.8,0.60,25.2,70,Control,Stable
M18,Control,Adult,0.46,0.50,0.34,0.42,0.59,0.45,0.21,0.36,122,0.98,3.5,0.63,23.5,73,Control,Stable
M19,Control,Adult,0.40,0.45,0.38,0.37,0.53,0.39,0.25,0.32,114,0.90,4.1,0.58,25.9,67,Control,Stable
M20,Control,Adult,0.37,0.42,0.41,0.34,0.50,0.36,0.28,0.29,108,0.84,4.7,0.55,28.0,64,Control,Variable
M21,Control,Adult,0.42,0.46,0.37,0.39,0.55,0.41,0.24,0.33,116,0.92,3.9,0.60,25.3,69,Control,Stable
M22,Control,Adult,0.45,0.49,0.35,0.41,0.58,0.44,0.22,0.35,120,0.97,3.6,0.62,24.1,72,Control,Stable
M23,Control,Adult,0.39,0.44,0.39,0.36,0.52,0.38,0.26,0.31,112,0.88,4.3,0.57,26.9,66,Control,Variable
M24,Control,Adult,0.43,0.47,0.36,0.40,0.56,0.42,0.23,0.34,118,0.94,3.8,0.61,24.8,70,Control,Stable
M25,CTD,Juvenile,0.37,0.41,0.40,0.34,0.50,0.36,0.27,0.28,108,0.86,4.7,0.58,25.6,67,CTD,Variable
M26,CTD,Juvenile,0.39,0.43,0.39,0.35,0.52,0.38,0.26,0.30,111,0.88,4.4,0.60,24.8,68,CTD,Stable
M27,CTD,Juvenile,0.34,0.38,0.43,0.31,0.46,0.33,0.30,0.25,102,0.80,5.3,0.54,27.1,63,CTD,Persistent
