Subject_ID,Group,Age_Stage,ISOI_FrontoParietal_FC,ISOI_Interhemispheric_Visual_FC,ISOI_Somatomotor_Association_FC,ISOI_Global_Modularity,Ca_Prefrontal_Synchrony,Ca_LongRange_Correlation,Ca_Burst_Event_Rate_per_min,Ca_SeededConnectivity_S1_PFC,PV_CellDensity_per_mm2,Synaptophysin_Intensity_AU,Spine_Density_per_10um,Microglia_Load_pctArea,Social_Interaction_Index,OpenField_Distance_m,Grooming_Bouts_Count,Rotarod_Latency_s,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,0.47,0.50,0.42,0.37,0.58,0.44,5.8,0.35,121,0.97,8.3,3.7,0.60,24.8,10,71,Control,Stable
M02,Control,Juvenile,0.42,0.46,0.39,0.40,0.53,0.39,5.3,0.31,114,0.89,7.6,4.4,0.57,26.5,11,67,Control,Variable
M03,Control,Juvenile,0.45,0.48,0.41,0.36,0.57,0.42,6.0,0.34,118,0.95,8.0,3.8,0.63,23.9,9,73,Control,Stable
M04,Control,Juvenile,0.39,0.44,0.36,0.42,0.51,0.37,4.8,0.29,109,0.84,7.2,4.9,0.55,27.6,13,64,Control,Variable
M05,Control,Juvenile,0.44,0.47,0.40,0.38,0.56,0.41,5.6,0.33,116,0.92,7.8,4.1,0.61,25.2,10,69,Control,Stable
M06,Control,Juvenile,0.48,0.52,0.43,0.35,0.60,0.45,6.1,0.36,123,0.99,8.5,3.5,0.64,23.1,8,74,Control,Stable
M07,Control,Adolescent,0.41,0.45,0.37,0.39,0.52,0.38,5.0,0.30,111,0.87,7.4,4.6,0.58,26.9,12,66,Control,Variable
M08,Control,Adolescent,0.46,0.49,0.41,0.37,0.57,0.43,5.7,0.34,119,0.96,8.1,3.9,0.60,24.4,10,72,Control,Stable
M09,Control,Adolescent,0.43,0.47,0.39,0.38,0.54,0.40,5.4,0.32,115,0.91,7.7,4.2,0.59,25.7,11,68,Control,Stable
M10,Control,Adolescent,0.38,0.43,0.35,0.43,0.49,0.35,4.7,0.28,107,0.82,7.0,5.1,0.54,28.0,14,63,Control,Variable
M11,Control,Adolescent,0.45,0.49,0.40,0.36,0.58,0.43,5.9,0.35,120,0.96,8.2,3.7,0.62,24.1,9,72,Control,Stable
M12,Control,Adolescent,0.40,0.44,0.37,0.41,0.52,0.37,4.9,0.30,110,0.85,7.3,4.8,0.56,27.2,12,65,Control,Variable
M13,Control,Adolescent,0.47,0.51,0.42,0.35,0.59,0.44,6.0,0.35,122,0.98,8.4,3.6,0.61,24.6,9,73,Control,Stable
M14,Control,Adolescent,0.44,0.46,0.38,0.39,0.55,0.40,5.2,0.32,117,0.90,7.9,4.2,0.58,25.8,11,68,Control,Stable
M15,Control,Adult,0.46,0.50,0.41,0.37,0.57,0.43,5.8,0.34,119,0.95,8.1,3.9,0.60,24.7,10,71,Control,Stable
M16,Control,Adult,0.41,0.45,0.38,0.40,0.53,0.38,5.1,0.30,112,0.87,7.5,4.5,0.57,26.4,12,66,Control,Variable
M17,Control,Adult,0.43,0.48,0.39,0.38,0.55,0.41,5.5,0.33,116,0.92,7.8,4.1,0.59,25.0,10,69,Control,Stable
M18,Control,Adult,0.37,0.42,0.35,0.44,0.49,0.34,4.6,0.27,105,0.81,6.9,5.3,0.53,28.4,15,62,Control,Variable
M19,Control,Adult,0.48,0.51,0.43,0.34,0.60,0.46,6.2,0.36,124,1.00,8.6,3.4,0.65,23.2,8,75,Control,Stable
M20,Control,Adult,0.44,0.47,0.40,0.39,0.56,0.41,5.6,0.33,117,0.93,7.9,4.0,0.61,24.9,10,70,Control,Stable
M21,Control,Adult,0.39,0.44,0.36,0.42,0.51,0.36,4.8,0.29,108,0.84,7.2,4.9,0.55,27.5,13,64,Control,Variable
M22,Control,Adult,0.45,0.49,0.41,0.36,0.58,0.42,5.9,0.34,121,0.97,8.2,3.7,0.63,24.0,9,73,Control,Stable
M23,Control,Adult,0.42,0.46,0.38,0.40,0.54,0.39,5.2,0.31,113,0.88,7.4,4.6,0.56,26.8,11,67,Control,Stable
M24,Control,Adult,0.47,0.50,0.42,0.35,0.59,0.44,6.1,0.35,122,0.98,8.3,3.6,0.62,24.3,9,74,Control,Stable
M25,Control,Adult,0.40,0.45,0.37,0.41,0.52,0.38,5.0,0.30,111,0.86,7.3,4.7,0.57,27.0,12,65,Control,Variable
M26,Control,Adult,0.43,0.48,0.39,0.38,0.55,0.40,5.4,0.32,115,0.91,7.7,4.2,0.58,25.6,11,68,Control,Stable
M27,ASD,Juvenile,0.35,0.39,0.33,0.45,0.46,0.33,4.2,0.25,101,0.80,6.8,5.9,0.57,25.4,13,66,ASD,Variable
M28,ASD,Juvenile,0.39,0.43,0.36,0.41,0.50,0.37,4.9,0.29,109,0.86,7.3,5.0,0.59,24.6,12,68,ASD,Stable
M29,ASD,Juvenile,0.33,0.37,0.31,0.47,0.43,0.30,3.8,0.23,97,0.75,6.4,6.5,0.53,27.0,16,62,ASD,Persistent
M30,ASD,Juvenile,0.41,0.45,0.38,0.39,0.52,0.39,5.1,0.31,113,0.89,7.5,4.6,0.60,24.1,11,69,ASD,Stable
M31,ASD,Juvenile,0.36,0.40,0.34,0.44,0.47,0.34,4.4,0.26,104,0.82,6.9,5.7,0.56,25.9,14,65,ASD,Variable
M32,ASD,Juvenile,0.31,0.35,0.29,0.49,0.41,0.28,3.5,0.21,94,0.72,6.1,6.9,0.51,28.1,17,60,ASD,Persistent
M33,ASD,Adolescent,0.38,0.42,0.35,0.42,0.49,0.36,4.7,0.28,107,0.85,7.1,5.2,0.58,24.8,12,67,ASD,Stable
M34,ASD,Adolescent,0.34,0.38,0.32,0.46,0.45,0.31,4.1,0.24,99,0.78,6.6,6.1,0.55,26.7,15,63,ASD,Variable
M35,ASD,Adolescent,0.30,0.34,0.28,0.50,0.40,0.27,3.4,0.20,92,0.70,5.9,7.2,0.50,28.5,18,59,ASD,Persistent
M36,ASD,Adolescent,0.40,0.44,0.37,0.40,0.51,0.38,5.0,0.30,111,0.88,7.4,4.8,0.60,24.3,11,69,ASD,Stable
M37,ASD,Adolescent,0.37,0.40,0.34,0.43,0.48,0.35,4.5,0.27,105,0.83,7.0,5.4,0.57,25.6,13,66,ASD,Variable
M38,ASD,Adolescent,0.32,0.36,0.30,0.48,0.42,0.29,3.7,0.22,95,0.73,6.2,6.8,0.52,27.9,17,61,ASD,Persistent
M39,ASD,Adolescent,0.41,0.46,0.38,0.39,0.53,0.39,5.2,0.31,114,0.90,7.6,4.7,0.61,24.0,11,70,ASD,Stable
M40,ASD,Adult,0.36,0.39,0.33,0.45,0.46,0.32,4.3,0.25,102,0.79,6.7,6.0,0.56,26.0,14,64,ASD,Variable
M41,ASD,Adult,0.31,0.35,0.29,0.49,0.41,0.28,3.6,0.21,93,0.71,6.0,7.0,0.51,28.3,17,60,ASD,Persistent
M42,ASD,Adult,0.39,0.43,0.36,0.41,0.50,0.37,4.8,0.29,108,0.85,7.2,5.1,0.58,24.9,12,67,ASD,Stable
M43,ASD,Adult,0.34,0.38,0.32,0.46,0.44,0.31,4.0,0.24,98,0.77,6.5,6.3,0.54,26.8,15,62,ASD,Persistent
M44,ASD,Adult,0.42,0.45,0.38,0.39,0.52,0.39,5.1,0.31,112,0.89,7.5,4.7,0.60,24.5,11,69,ASD,Stable
M45,ASD,Adult,0.37,0.41,0.35,0.43,0.48,0.34,4.4,0.27,104,0.82,6.9,5.6,0.57,25.8,13,65,ASD,Variable
