Subject_ID,Group,Age_Stage,EEG_ThetaBeta_Ratio,Sleep_Fragmentation_Index,Pupil_Light_Constriction_pct,Respiratory_Variability_SD,Arousal_Reactivity_Z,Auditory_Threshold_dB,Prepulse_Inhibition_pct,Visual_Contrast_Threshold_pct,Tactile_Withdrawal_Threshold_g,Social_Interaction_Index,OpenField_Distance_m,Grooming_Bouts_Count,Motor_Coordination_Score,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,1.78,29,28.9,0.41,0.18,33,45,21,0.84,0.61,24.9,11,57,Control,Stable
M02,Control,Juvenile,1.92,33,27.4,0.45,0.31,35,43,22,0.79,0.56,27.1,13,54,Control,Variable
M03,Control,Juvenile,1.69,28,29.8,0.38,0.07,31,48,19,0.91,0.65,23.4,9,59,Control,Stable
M04,Control,Juvenile,2.01,35,26.6,0.47,0.39,36,41,24,0.76,0.54,28.0,15,52,Control,Variable
M05,Control,Juvenile,1.83,31,28.1,0.43,0.21,34,44,21,0.83,0.60,25.2,10,56,Control,Stable
M06,Control,Juvenile,1.61,27,30.4,0.37,0.02,30,49,18,0.94,0.66,22.8,8,60,Control,Stable
M07,Control,Adolescent,1.88,34,27.7,0.46,0.29,35,42,23,0.80,0.58,26.3,12,55,Control,Variable
M08,Control,Adolescent,1.74,30,28.5,0.40,0.14,32,46,20,0.87,0.62,24.6,10,58,Control,Stable
M09,Control,Adolescent,1.96,32,27.1,0.44,0.26,34,43,22,0.81,0.57,25.9,11,56,Control,Stable
M10,Control,Adolescent,1.67,29,29.2,0.39,0.09,31,47,19,0.90,0.64,23.7,9,59,Control,Stable
M11,Control,Adolescent,2.08,36,26.3,0.48,0.43,37,40,25,0.74,0.53,28.7,16,51,Control,Variable
M12,Control,Adolescent,1.80,31,28.0,0.42,0.19,33,45,21,0.85,0.61,25.1,10,57,Control,Stable
M13,Control,Adolescent,1.72,28,29.6,0.38,0.06,30,48,18,0.92,0.63,23.1,8,60,Control,Stable
M14,Control,Adult,1.89,33,27.5,0.45,0.30,35,42,23,0.80,0.57,26.8,12,55,Control,Variable
M15,Control,Adult,1.76,30,28.7,0.41,0.16,32,46,20,0.86,0.61,24.4,10,58,Control,Stable
M16,Control,Adult,1.98,34,26.9,0.46,0.34,36,41,24,0.77,0.55,27.6,14,53,Control,Variable
M17,Control,Adult,1.66,27,30.1,0.37,0.03,30,49,18,0.93,0.66,22.9,8,60,Control,Stable
M18,Control,Adult,1.85,31,28.2,0.43,0.20,34,44,21,0.82,0.59,25.0,11,56,Control,Stable
M19,Control,Adult,1.71,29,29.4,0.39,0.11,31,47,19,0.89,0.63,23.8,9,59,Control,Stable
M20,Control,Adult,2.12,37,25.8,0.49,0.47,38,39,25,0.72,0.52,29.1,17,50,Control,Variable
M21,Control,Adult,1.82,32,27.9,0.42,0.22,33,45,22,0.84,0.60,25.7,10,57,Control,Stable
M22,Control,Adult,1.63,28,30.2,0.37,0.01,30,48,18,0.94,0.67,22.6,7,61,Control,Stable
M23,Control,Adult,1.94,34,27.0,0.45,0.32,35,42,23,0.79,0.56,26.5,13,54,Control,Variable
M24,Control,Adult,1.75,30,28.6,0.40,0.13,32,46,20,0.88,0.62,24.2,9,58,Control,Stable
M25,Control,Adult,1.87,31,27.8,0.43,0.24,34,44,21,0.83,0.58,25.4,11,56,Control,Stable
M26,Control,Adult,2.03,35,26.5,0.47,0.38,36,40,24,0.76,0.54,27.9,15,52,Control,Variable
M27,CDD,Juvenile,2.14,38,24.9,0.48,0.35,34,44,22,0.82,0.59,25.1,12,56,CDD,Variable
M28,CDD,Juvenile,2.06,36,25.8,0.46,0.28,33,45,21,0.85,0.61,24.5,10,58,CDD,Stable
M29,CDD,Juvenile,2.29,41,23.4,0.52,0.58,37,41,24,0.77,0.54,27.0,14,53,CDD,Persistent
M30,CDD,Juvenile,1.93,33,26.8,0.43,0.17,31,47,19,0.90,0.64,23.3,9,60,CDD,Stable
M31,CDD,Juvenile,2.18,39,24.6,0.49,0.41,35,43,23,0.80,0.57,26.2,13,55,CDD,Variable
M32,CDD,Juvenile,2.36,43,22.8,0.55,0.72,38,39,26,0.73,0.52,28.1,16,50,CDD,Persistent
M33,CDD,Adolescent,2.01,35,25.9,0.45,0.24,32,46,20,0.87,0.62,24.1,10,58,CDD,Stable
M34,CDD,Adolescent,2.21,40,24.1,0.50,0.49,36,42,24,0.78,0.55,26.9,15,52,CDD,Variable
M35,CDD,Adolescent,2.08,37,25.1,0.47,0.31,34,44,22,0.83,0.60,25.0,11,57,CDD,Stable
M36,CDD,Adolescent,2.41,44,22.3,0.56,0.79,39,38,27,0.70,0.50,28.6,17,49,CDD,Persistent
M37,CDD,Adolescent,1.97,34,26.4,0.44,0.19,31,47,19,0.89,0.65,23.6,8,59,CDD,Stable
M38,CDD,Adolescent,2.12,38,24.8,0.48,0.37,35,43,23,0.81,0.58,25.8,12,56,CDD,Variable
M39,CDD,Adolescent,2.03,36,25.6,0.46,0.27,33,45,21,0.86,0.61,24.4,10,57,CDD,Stable
M40,CDD,Adult,2.27,40,23.7,0.51,0.53,36,42,24,0.79,0.56,26.7,14,54,CDD,Persistent
M41,CDD,Adult,2.09,37,25.0,0.47,0.33,34,44,22,0.82,0.59,25.3,11,56,CDD,Stable
M42,CDD,Adult,1.95,34,26.7,0.43,0.18,32,46,20,0.88,0.63,23.9,9,58,CDD,Stable
M43,CDD,Adult,2.16,39,24.5,0.49,0.42,35,43,23,0.80,0.57,26.0,13,55,CDD,Variable
M44,CDD,Adult,2.31,42,23.1,0.53,0.66,37,40,25,0.75,0.53,27.8,15,51,CDD,Persistent
M45,CDD,Adult,2.00,35,26.0,0.45,0.23,32,46,20,0.87,0.62,24.7,10,58,CDD,Stable
M46,CDD,Adult,2.11,38,24.7,0.48,0.39,34,44,22,0.81,0.58,25.9,12,55,CDD,Variable
M47,CDD,Adult,2.24,41,23.8,0.51,0.55,36,41,24,0.78,0.55,26.5,14,53,CDD,Persistent
M48,CDD,Adult,1.92,33,26.9,0.43,0.16,31,47,19,0.90,0.64,23.5,8,59,CDD,Stable
M49,CDD,Adult,2.07,36,25.4,0.46,0.29,33,45,21,0.85,0.60,24.9,11,57,CDD,Stable
M50,CDD,Adult,2.18,39,24.3,0.49,0.44,35,42,23,0.80,0.57,26.1,13,54,CDD,Variable
M51,CDD,Adult,2.34,43,22.6,0.54,0.74,38,39,26,0.72,0.51,28.4,17,49,CDD,Persistent
M52,CDD,Adult,1.99,35,26.1,0.44,0.21,32,46,20,0.88,0.63,24.0,9,58,CDD,Stable
