Subject_ID,Group,Age_Stage,MWM_Acquisition_Latency_s,MWM_Probe_TargetTime_pct,ThreeChamber_SocialPreference_Index,NOR_Discrimination_Index,OpenField_CenterTime_s,Grooming_Bouts_Count,EEG_ThetaBeta_Ratio,EEG_Gamma_Power_Relative,EEG_Coherence_PFC_HPC,Conn_FrontoHippocampal_FC,Conn_DefaultLike_Modularity,Conn_SomatomotorAssociation_Coupling,Locomotor_Variability_SD,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,25.8,36.9,0.63,0.41,24.7,11,1.86,0.92,0.49,0.44,0.37,0.39,0.51,Control,Stable
M02,Control,Juvenile,28.4,34.1,0.58,0.35,22.9,13,1.97,0.88,0.45,0.40,0.40,0.36,0.57,Control,Variable
M03,Control,Juvenile,23.6,38.4,0.66,0.43,26.5,9,1.74,0.95,0.52,0.46,0.35,0.41,0.48,Control,Stable
M04,Control,Juvenile,31.7,31.2,0.54,0.28,21.3,15,2.05,0.84,0.43,0.38,0.42,0.34,0.61,Control,Variable
M05,Control,Juvenile,26.9,35.5,0.61,0.39,25.1,10,1.82,0.91,0.48,0.43,0.38,0.39,0.52,Control,Stable
M06,Control,Juvenile,22.8,39.7,0.69,0.47,27.2,8,1.69,0.98,0.55,0.48,0.34,0.42,0.46,Control,Stable
M07,Control,Adolescent,29.4,33.6,0.57,0.31,23.0,12,1.99,0.87,0.44,0.39,0.41,0.35,0.58,Control,Variable
M08,Control,Adolescent,24.7,37.8,0.64,0.42,26.0,10,1.78,0.94,0.51,0.45,0.36,0.40,0.49,Control,Stable
M09,Control,Adolescent,27.1,34.9,0.60,0.36,24.2,11,1.88,0.90,0.47,0.42,0.39,0.37,0.53,Control,Stable
M10,Control,Adolescent,33.5,30.5,0.52,0.27,20.7,16,2.12,0.82,0.41,0.36,0.43,0.33,0.64,Control,Variable
M11,Control,Adolescent,21.9,40.8,0.68,0.46,27.8,7,1.66,0.99,0.56,0.49,0.34,0.43,0.45,Control,Stable
M12,Control,Adolescent,26.2,36.1,0.62,0.38,24.8,10,1.84,0.92,0.49,0.44,0.37,0.39,0.51,Control,Stable
M13,Control,Adult,28.7,34.3,0.59,0.34,23.5,12,1.95,0.89,0.46,0.41,0.40,0.36,0.56,Control,Variable
M14,Control,Adult,24.1,38.6,0.65,0.43,26.7,9,1.73,0.96,0.53,0.47,0.35,0.41,0.47,Control,Stable
M15,Control,Adult,30.4,32.7,0.55,0.30,22.1,14,2.03,0.85,0.43,0.38,0.42,0.34,0.60,Control,Variable
M16,Control,Adult,25.9,36.8,0.63,0.40,25.5,10,1.81,0.93,0.50,0.44,0.37,0.40,0.50,Control,Stable
M17,Control,Adult,22.5,39.2,0.67,0.45,27.1,8,1.68,0.97,0.54,0.48,0.34,0.42,0.46,Control,Stable
M18,Control,Adult,27.6,35.0,0.60,0.37,24.0,11,1.90,0.90,0.47,0.42,0.39,0.37,0.54,Control,Stable
M19,Control,Adult,32.8,31.4,0.53,0.26,21.0,15,2.10,0.83,0.42,0.37,0.43,0.33,0.63,Control,Variable
