Subject_ID,Group,Age_Stage,MWM_Acquisition_Latency_s,MWM_Probe_TargetTime_pct,ThreeChamber_SocialPreference_Index,NOR_Discrimination_Index,OpenField_CenterTime_s,EEG_ThetaBeta_Ratio,EEG_Gamma_Power_Relative,EEG_Coherence_PFC_HPC,Conn_FrontoHippocampal_FC,Conn_VisualInterhemispheric_FC,Locomotor_Variability_SD,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,28.1,34.8,0.61,0.34,24.0,1.88,0.90,0.47,0.42,0.48,0.54,Control,Stable
M02,Control,Juvenile,26.4,36.9,0.64,0.39,25.6,1.79,0.93,0.49,0.44,0.50,0.49,Control,Stable
M03,Control,Juvenile,30.2,32.7,0.56,0.30,22.7,1.97,0.86,0.44,0.39,0.46,0.58,Control,Variable
M04,Control,Juvenile,24.9,38.5,0.67,0.43,26.4,1.73,0.96,0.52,0.46,0.51,0.46,Control,Stable
M05,Control,Juvenile,31.6,31.4,0.53,0.26,21.5,2.04,0.83,0.41,0.37,0.44,0.63,Control,Variable
M06,Control,Juvenile,27.3,35.5,0.60,0.36,24.8,1.84,0.91,0.48,0.43,0.49,0.52,Control,Stable
M07,Control,Adolescent,29.1,33.8,0.58,0.31,23.4,1.93,0.88,0.45,0.40,0.47,0.57,Control,Variable
M08,Control,Adolescent,25.6,37.6,0.66,0.41,26.1,1.75,0.95,0.51,0.45,0.50,0.47,Control,Stable
M09,Control,Adolescent,27.9,35.1,0.62,0.35,24.5,1.86,0.90,0.47,0.42,0.48,0.53,Control,Stable
M10,Control,Adolescent,32.4,30.9,0.51,0.24,20.9,2.08,0.82,0.40,0.36,0.43,0.65,Control,Variable
M11,Control,Adolescent,24.1,39.2,0.69,0.45,27.0,1.67,0.99,0.54,0.48,0.53,0.44,Control,Stable
M12,Control,Adolescent,28.7,34.4,0.59,0.33,23.9,1.91,0.89,0.46,0.41,0.47,0.55,Control,Stable
M13,Control,Adolescent,26.8,36.0,0.63,0.37,25.0,1.82,0.92,0.48,0.44,0.49,0.51,Control,Stable
M14,Control,Adult,30.8,32.2,0.55,0.28,22.1,2.01,0.84,0.42,0.38,0.45,0.61,Control,Variable
M15,Control,Adult,25.2,37.9,0.67,0.42,26.5,1.72,0.97,0.52,0.47,0.51,0.46,Control,Stable
M16,Control,Adult,28.4,34.9,0.60,0.34,24.1,1.87,0.90,0.47,0.42,0.48,0.54,Control,Stable
M17,Control,Adult,31.9,31.1,0.52,0.25,21.2,2.06,0.83,0.41,0.37,0.44,0.64,Control,Variable
M18,Control,Adult,24.6,38.8,0.68,0.44,26.9,1.69,0.98,0.53,0.48,0.52,0.45,Control,Stable
M19,Control,Adult,27.5,35.6,0.61,0.36,24.7,1.84,0.91,0.48,0.43,0.49,0.52,Control,Stable
M20,Control,Adult,29.6,33.4,0.57,0.31,23.0,1.96,0.87,0.44,0.40,0.46,0.59,Control,Variable
M21,Control,Adult,26.1,37.1,0.65,0.39,25.8,1.78,0.94,0.50,0.45,0.50,0.48,Control,Stable
M22,Control,Adult,32.7,30.5,0.50,0.23,20.5,2.10,0.81,0.39,0.35,0.42,0.67,Control,Variable
M23,Control,Adult,24.9,38.3,0.66,0.43,26.2,1.73,0.96,0.51,0.46,0.51,0.46,Control,Stable
M24,Control,Adult,28.8,34.2,0.59,0.32,23.6,1.92,0.88,0.45,0.41,0.47,0.56,Control,Stable
M25,Rett,Juvenile,29.2,33.5,0.59,0.31,23.5,1.94,0.88,0.44,0.39,0.47,0.57,Rett,Variable
M26,Rett,Juvenile,27.1,35.4,0.62,0.35,24.9,1.86,0.90,0.46,0.41,0.48,0.53,Rett,Stable
M27,Rett,Juvenile,31.7,31.3,0.53,0.24,22.0,2.05,0.83,0.40,0.36,0.44,0.64,Rett,Persistent
M28,Rett,Juvenile,25.4,37.3,0.65,0.39,25.8,1.80,0.93,0.49,0.44,0.50,0.49,Rett,Stable
M29,Rett,Juvenile,30.1,32.8,0.56,0.29,22.8,1.99,0.85,0.42,0.38,0.45,0.60,Rett,Variable
M30,Rett,Juvenile,33.0,29.9,0.49,0.21,20.8,2.12,0.80,0.38,0.34,0.42,0.68,Rett,Persistent
M31,Rett,Adolescent,27.8,35.0,0.61,0.34,24.4,1.88,0.89,0.45,0.41,0.48,0.54,Rett,Stable
M32,Rett,Adolescent,30.9,31.6,0.54,0.26,22.3,2.02,0.84,0.41,0.37,0.45,0.62,Rett,Variable
M33,Rett,Adolescent,28.6,33.9,0.58,0.31,23.7,1.95,0.87,0.44,0.40,0.47,0.58,Rett,Stable
M34,Rett,Adolescent,34.5,28.6,0.46,0.18,20.1,2.18,0.78,0.36,0.32,0.40,0.71,Rett,Persistent
M35,Rett,Adolescent,26.0,36.8,0.64,0.38,25.5,1.82,0.92,0.48,0.43,0.49,0.50,Rett,Stable
M36,Rett,Adolescent,29.7,32.5,0.55,0.27,22.7,1.98,0.86,0.42,0.38,0.46,0.59,Rett,Variable
M37,Rett,Adolescent,27.3,34.7,0.60,0.33,24.3,1.90,0.89,0.45,0.41,0.48,0.55,Rett,Stable
M38,Rett,Adult,32.6,30.8,0.51,0.23,21.1,2.09,0.82,0.39,0.35,0.43,0.66,Rett,Persistent
M39,Rett,Adult,25.7,37.0,0.65,0.39,25.9,1.81,0.92,0.48,0.43,0.50,0.49,Rett,Stable
M40,Rett,Adult,30.5,31.9,0.53,0.25,22.1,2.03,0.84,0.40,0.36,0.44,0.63,Rett,Variable
M41,Rett,Adult,28.1,34.1,0.58,0.30,23.8,1.93,0.88,0.44,0.40,0.47,0.57,Rett,Stable
M42,Rett,Adult,35.2,27.9,0.45,0.16,19.8,2.20,0.77,0.35,0.31,0.39,0.73,Rett,Persistent
M43,Rett,Adult,26.5,36.2,0.63,0.36,25.0,1.84,0.91,0.47,0.42,0.49,0.52,Rett,Stable
M44,Rett,Adult,31.1,31.2,0.52,0.24,21.9,2.06,0.83,0.40,0.36,0.44,0.64,Rett,Variable
M45,Rett,Adult,27.0,35.3,0.61,0.34,24.6,1.89,0.89,0.45,0.41,0.48,0.54,Rett,Stable
M46,Rett,Adult,33.8,29.1,0.47,0.19,20.4,2.15,0.79,0.37,0.33,0.41,0.69,Rett,Persistent
M47,Rett,Adult,25.9,36.9,0.64,0.38,25.7,1.82,0.92,0.48,0.43,0.50,0.50,Rett,Stable
M48,Rett,Adult,29.4,32.7,0.55,0.28,22.5,1.99,0.85,0.42,0.38,0.45,0.60,Rett,Variable
