Subject_ID,Group,Sex,Age_PND,Body_Weight_g,Social_Interaction_Index,Social_Novelty_Index,Ultrasonic_Call_Rate_per_min,OpenField_Distance_cm,YMaze_Alternation_pct,Novel_Object_Location_Index,PPI_pct,Plasma_Oxytocin_pg_mL,Resting_Theta_Power_uV2,Social_Evoked_HbO_AU,Cognitive_P300_Latency_ms,Pupillary_Dilation_pct,Future_Outcome_Category
RS001,Shank3B_Partial,M,44,182,0.36,0.39,20,4921,58.4,0.53,42.1,22.8,13.9,0.44,318,18.1,Worsened
RS002,Shank3B_Partial,F,45,171,0.42,0.45,24,4688,56.9,0.51,44.0,25.1,14.6,0.49,312,19.0,Stable
RS003,Shank3B_Partial,M,46,189,0.34,0.37,18,5076,59.1,0.54,41.3,21.9,13.5,0.42,321,17.7,Worsened
RS004,Shank3B_Partial,F,43,168,0.46,0.48,27,4557,55.8,0.50,45.2,26.4,14.8,0.51,309,19.5,Stable
RS005,Shank3B_Partial,M,47,195,0.38,0.41,22,5144,57.6,0.52,43.0,23.7,14.1,0.46,316,18.4,Stable
RS006,Shank3B_Partial,F,44,173,0.44,0.46,25,4621,56.2,0.49,44.7,25.8,14.9,0.50,311,19.2,Stable
RS007,Shank3B_Partial,M,45,186,0.33,0.36,17,5230,58.9,0.55,41.0,21.4,13.3,0.41,323,17.4,Worsened
RS008,Shank3B_Partial,F,46,176,0.47,0.49,28,4493,55.1,0.50,45.8,26.7,15.0,0.52,308,19.8,Improved
RS009,Shank3B_Partial,M,44,184,0.37,0.40,21,4990,57.2,0.53,42.5,22.9,13.8,0.45,317,18.0,Stable
RS010,Shank3B_Partial,F,45,170,0.43,0.44,23,4702,56.0,0.51,44.3,24.9,14.5,0.48,313,18.8,Stable
RS011,Shank3B_Partial,M,46,191,0.35,0.38,19,5108,58.7,0.54,41.7,22.2,13.6,0.43,320,17.8,Worsened
RS012,Shank3B_Partial,F,43,169,0.45,0.47,26,4579,55.5,0.50,45.0,26.1,14.7,0.51,310,19.4,Stable
RS013,Shank3B_Partial,M,47,198,0.39,0.42,22,5186,57.9,0.52,43.2,23.4,14.0,0.46,315,18.5,Stable
RS014,Shank3B_Partial,F,44,172,0.41,0.43,24,4640,56.4,0.51,44.0,24.7,14.4,0.47,314,18.9,Stable
RS015,Shank3B_Partial,M,45,188,0.32,0.35,16,5265,59.4,0.55,40.8,20.8,13.1,0.40,324,17.2,Worsened
RS016,Shank3B_Partial,F,46,177,0.48,0.50,29,4524,55.0,0.49,46.1,27.0,15.1,0.53,307,20.0,Improved
RS017,Shank3B_Partial,M,44,183,0.36,0.39,20,4958,57.4,0.53,42.4,22.6,13.7,0.44,318,18.1,Stable
RS018,Shank3B_Partial,F,45,174,0.42,0.45,25,4665,56.1,0.51,44.5,25.3,14.6,0.49,312,19.1,Stable
